"Gene Rank"	Correlation	Correlation	Correlation
1.0	0.57163405444598		
2.0	0.40006520621163		
3.0	0.39646060022244		
4.0	0.39121286500980		
5.0	0.38303253062284		
6.0	0.38170149934969		
7.0	0.37372243854935		
8.0	0.36896561000000		
9.0	0.35728953661888		
10.0	0.35514958738730		
11.0	0.35261577600413		
12.0	0.34937667663559		
13.0	0.34897439201859		
14.0	0.34452310154117		
15.0	0.33724055622987		
16.0	0.33701157226662		
17.0	0.33551570036499		
18.0	0.33444366858853		
19.0	0.33328907495053		
20.0	0.33169662000000		
21.0	0.32933988369206		
22.0	0.32699174010268		
23.0	0.32365030816417		
24.0	0.32266860377246		
25.0	0.32173980730479		
26.0	0.31765069268787		
27.0	0.31331388191292		
28.0	0.31154226000000		
29.0	0.31130151394303		
30.0	0.30985171256328		
31.0	0.30926481711256		
32.0	0.30649497652239		
33.0	0.30604546159393		
34.0	0.30597446811303		
35.0	0.30574337439974		
36.0	0.30518318896490		
37.0	0.30477581134385		
38.0	0.30434759301683		
39.0	0.30409166738778		
40.0	0.30304989066607		
41.0	0.30211597984699		
42.0	0.30191733045182		
43.0	0.30156441003171		
44.0	0.29993828559092		
45.0	0.29991904059275		
46.0	0.29980584519952		
47.0	0.29868292950847		
48.0	0.29830908089410		
49.0	0.29805434032572		
50.0	0.29682625000000		
