Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-45.22	-0.79541	-45.22	-2.261
-45.12	-0.79541	-45.12	-2.256
-45.02	-0.79541	-45.02	-2.251
-44.92	-0.775879	-44.92	-2.246
-44.82	-0.773926	-44.82	-2.241
-44.72	-0.781738	-44.72	-2.236
-44.62	-0.773926	-44.62	-2.231
-44.52	-0.766113	-44.52	-2.226
-44.42	-0.76416	-44.42	-2.221
-44.32	-0.754395	-44.32	-2.216
-44.22	-0.754395	-44.22	-2.211
-44.12	-0.754395	-44.12	-2.206
-44.02	-0.744629	-44.02	-2.201
-43.92	-0.744629	-43.92	-2.196
-43.82	-0.734863	-43.82	-2.191
-43.72	-0.734863	-43.72	-2.186
-43.62	-0.734863	-43.62	-2.181
-43.52	-0.725098	-43.52	-2.176
-43.42	-0.725098	-43.42	-2.171
-43.32	-0.725098	-43.32	-2.166
-43.22	-0.715332	-43.22	-2.161
-43.12	-0.715332	-43.12	-2.156
-43.02	-0.715332	-43.02	-2.151
-42.92	-0.705566	-42.92	-2.146
-42.82	-0.705566	-42.82	-2.141
-42.72	-0.705566	-42.72	-2.136
-42.62	-0.693848	-42.62	-2.131
-42.52	-0.693848	-42.52	-2.126
-42.42	-0.693848	-42.42	-2.121
-42.32	-0.684082	-42.32	-2.116
-42.22	-0.684082	-42.22	-2.111
-42.12	-0.684082	-42.12	-2.106
-42.02	-0.674316	-42.02	-2.101
-41.92	-0.674316	-41.92	-2.096
-41.82	-0.674316	-41.82	-2.091
-41.72	-0.674316	-41.72	-2.086
-41.62	-0.664551	-41.62	-2.081
-41.52	-0.655273	-41.52	-2.076
-41.42	-0.643066	-41.42	-2.071
-41.32	-0.643066	-41.32	-2.066
-41.22	-0.643066	-41.22	-2.061
-41.12	-0.633301	-41.12	-2.056
-41.02	-0.633301	-41.02	-2.051
-40.92	-0.625488	-40.92	-2.046
-40.82	-0.61377	-40.82	-2.041
-40.72	-0.61377	-40.72	-2.036
-40.62	-0.61377	-40.62	-2.031
-40.52	-0.604004	-40.52	-2.026
-40.42	-0.596191	-40.42	-2.021
-40.32	-0.58252	-40.32	-2.016
-40.22	-0.58252	-40.22	-2.011
-40.12	-0.58252	-40.12	-2.006
-40.02	-0.58252	-40.02	-2.001
-39.92	-0.572754	-39.92	-1.996
-39.82	-0.572754	-39.82	-1.991
-39.72	-0.572754	-39.72	-1.986
-39.62	-0.562988	-39.62	-1.981
-39.52	-0.562988	-39.52	-1.976
-39.42	-0.553223	-39.42	-1.971
-39.32	-0.553223	-39.32	-1.966
-39.22	-0.54541	-39.22	-1.961
-39.12	-0.533691	-39.12	-1.956
-39.02	-0.533691	-39.02	-1.951
-38.92	-0.533691	-38.92	-1.946
-38.82	-0.523926	-38.82	-1.941
-38.72	-0.523926	-38.72	-1.936
-38.62	-0.523926	-38.62	-1.931
-38.52	-0.506348	-38.52	-1.926
-38.42	-0.504395	-38.42	-1.921
-38.32	-0.504395	-38.32	-1.916
-38.22	-0.494629	-38.22	-1.911
-38.12	-0.494629	-38.12	-1.906
-38.02	-0.494629	-38.02	-1.901
-37.92	-0.494629	-37.92	-1.896
-37.82	-0.484863	-37.82	-1.891
-37.72	-0.484863	-37.72	-1.886
-37.62	-0.484863	-37.62	-1.881
-37.52	-0.473145	-37.52	-1.876
-37.42	-0.465332	-37.42	-1.871
-37.32	-0.463379	-37.32	-1.866
-37.22	-0.453613	-37.22	-1.861
-37.12	-0.453613	-37.12	-1.856
-37.02	-0.443848	-37.02	-1.851
-36.92	-0.443848	-36.92	-1.846
-36.82	-0.443848	-36.82	-1.841
-36.72	-0.434082	-36.72	-1.836
-36.62	-0.434082	-36.62	-1.831
-36.52	-0.434082	-36.52	-1.826
-36.42	-0.424316	-36.42	-1.821
-36.32	-0.424316	-36.32	-1.816
