Cycle: 5  C15R26E_X	Cycle: 5  C15R26E_Y	Fitted Cycle: 5  C15R26E_X	Fitted Cycle: 5  C15R26E_Y
-44.46	1.23462	-44.46	0.770047
-44.36	1.23853	-44.36	0.768315
-44.26	1.24438	-44.26	0.766583
-44.16	1.23462	-44.16	0.764851
-44.06	1.23462	-44.06	0.763119
-43.96	1.23462	-43.96	0.761387
-43.86	1.23462	-43.86	0.759655
-43.76	1.22485	-43.76	0.757923
-43.66	1.22485	-43.66	0.756191
-43.56	1.22876	-43.56	0.754459
-43.46	1.22485	-43.46	0.752727
-43.36	1.22485	-43.36	0.750995
-43.26	1.22485	-43.26	0.749263
-43.16	1.21509	-43.16	0.747531
-43.06	1.21899	-43.06	0.745799
-42.96	1.21509	-42.96	0.744067
-42.86	1.21509	-42.86	0.742335
-42.76	1.20532	-42.76	0.740603
-42.66	1.20532	-42.66	0.738871
-42.56	1.20532	-42.56	0.737139
-42.46	1.20923	-42.46	0.735407
-42.36	1.19946	-42.36	0.733675
-42.26	1.1936	-42.26	0.731943
-42.16	1.1936	-42.16	0.730211
-42.06	1.18384	-42.06	0.728479
-41.96	1.18774	-41.96	0.726747
-41.86	1.18384	-41.86	0.725015
-41.76	1.18384	-41.76	0.723283
-41.66	1.18384	-41.66	0.721551
-41.56	1.17407	-41.56	0.719819
-41.46	1.17798	-41.46	0.718087
-41.36	1.18384	-41.36	0.716355
-41.26	1.17407	-41.26	0.714623
-41.16	1.17407	-41.16	0.712891
-41.06	1.16431	-41.06	0.711159
-40.96	1.16821	-40.96	0.709427
-40.86	1.17407	-40.86	0.707695
-40.76	1.16431	-40.76	0.705963
-40.66	1.16431	-40.66	0.704231
-40.56	1.16431	-40.56	0.702499
-40.46	1.16821	-40.46	0.700767
-40.36	1.16431	-40.36	0.699035
-40.26	1.16431	-40.26	0.697303
-40.16	1.16431	-40.16	0.695571
-40.06	1.15259	-40.06	0.693839
-39.96	1.15259	-39.96	0.692107
-39.86	1.15259	-39.86	0.690375
-39.76	1.14282	-39.76	0.688643
-39.66	1.14282	-39.66	0.686911
-39.56	1.14282	-39.56	0.685179
-39.46	1.14746	-39.46	0.683447
-39.36	1.14478	-39.36	0.681715
-39.26	1.14478	-39.26	0.679983
-39.16	1.14478	-39.16	0.678251
-39.06	1.13501	-39.06	0.676519
-38.96	1.13501	-38.96	0.674787
-38.86	1.12524	-38.86	0.673055
-38.76	1.12524	-38.76	0.671323
-38.66	1.12524	-38.66	0.669591
-38.56	1.11548	-38.56	0.667859
-38.46	1.11548	-38.46	0.666127
-38.36	1.11548	-38.36	0.664395
-38.26	1.10571	-38.26	0.662663
-38.16	1.10571	-38.16	0.660931
-38.06	1.10962	-38.06	0.659199
-37.96	1.10571	-37.96	0.657467
-37.86	1.10571	-37.86	0.655735
-37.76	1.09595	-37.76	0.654003
-37.66	1.09595	-37.66	0.652271
-37.56	1.09595	-37.56	0.650539
-37.46	1.09595	-37.46	0.648807
-37.36	1.08423	-37.36	0.647075
-37.26	1.08423	-37.26	0.645343
-37.16	1.08423	-37.16	0.643611
-37.06	1.07837	-37.06	0.641879
-36.96	1.08423	-36.96	0.640147
-36.86	1.08423	-36.86	0.638415
-36.76	1.07446	-36.76	0.636683
-36.66	1.07446	-36.66	0.634951
-36.56	1.07056	-36.56	0.633219
-36.46	1.0647	-36.46	0.631487
-36.36	1.05493	-36.36	0.629755
-36.26	1.05884	-36.26	0.628023
-36.16	1.0647	-36.16	0.626291
-36.06	1.05493	-36.06	0.624559
-35.96	1.05493	-35.96	0.622827
-35.86	1.05493	-35.86	0.621095
-35.76	1.05493	-35.76	0.619363
-35.66	1.04126	-35.66	0.617631
-35.56	1.0354	-35.56	0.615899
-35.46	1.02563	-35.46	0.614167
-35.36	1.02954	-35.36	0.612435
-35.26	1.0354	-35.26	0.610703
-35.16	1.02563	-35.16	0.608971
-35.06	1.02563	-35.06	0.607239
-34.96	1.02563	-34.96	0.605507
-34.86	1.02173	-34.86	0.603775
-34.76	1.01587	-34.76	0.602043
-34.66	1.00415	-34.66	0.600311
-34.56	1.00415	-34.56	0.598579
-34.46	1.00415	-34.46	0.596847
-34.36	1.00415	-34.36	0.595115
-34.26	0.994385	-34.26	0.593383
-34.16	0.994385	-34.16	0.591651
-34.06	0.994385	-34.06	0.589919
-33.96	0.984619	-33.96	0.588187
-33.86	0.984619	-33.86	0.586455
-33.76	0.984619	-33.76	0.584723
-33.66	0.980713	-33.66	0.582991
-33.56	0.965088	-33.56	0.581259
-33.46	0.965088	-33.46	0.579527
-33.36	0.965088	-33.36	0.577795
-33.26	0.965088	-33.26	0.576063
-33.16	0.955322	-33.16	0.574331
-33.06	0.955322	-33.06	0.572599
-32.96	0.955322	-32.96	0.570867
-32.86	0.945557	-32.86	0.569135
-32.76	0.945557	-32.76	0.567403
-32.66	0.945557	-32.66	0.565671
-32.56	0.935791	-32.56	0.563939
-32.46	0.935791	-32.46	0.562207
-32.36	0.935791	-32.36	0.560475
-32.26	0.935791	-32.26	0.558743
-32.16	0.926025	-32.16	0.557011
-32.06	0.921387	-32.06	0.555279
-31.96	0.914307	-31.96	0.553547
-31.86	0.902588	-31.86	0.551815
-31.76	0.902588	-31.76	0.550083
-31.66	0.902588	-31.66	0.548351
-31.56	0.902588	-31.56	0.546619
-31.46	0.902588	-31.46	0.544887
-31.36	0.892822	-31.36	0.543155
-31.26	0.892822	-31.26	0.541423
-31.16	0.892822	-31.16	0.539691
-31.06	0.883057	-31.06	0.537959
-30.96	0.87915	-30.96	0.536227
-30.86	0.877197	-30.86	0.534495
-30.76	0.87915	-30.76	0.532763
-30.66	0.863525	-30.66	0.531031
-30.56	0.863525	-30.56	0.529299
-30.46	0.863525	-30.46	0.527567
-30.36	0.863525	-30.36	0.525835
-30.26	0.85376	-30.26	0.524103
-30.16	0.85376	-30.16	0.522371
-30.06	0.85376	-30.06	0.520639
-29.96	0.85376	-29.96	0.518907
-29.86	0.843994	-29.86	0.517175
-29.76	0.843994	-29.76	0.515443
-29.66	0.843994	-29.66	0.513711
-29.56	0.840088	-29.56	0.511979
-29.46	0.824463	-29.46	0.510247
-29.36	0.824463	-29.36	0.508515
-29.26	0.824463	-29.26	0.506783
-29.16	0.824463	-29.16	0.505051
-29.06	0.824463	-29.06	0.503319
-28.96	0.814697	-28.96	0.501587
-28.86	0.814697	-28.86	0.499855
-28.76	0.814697	-28.76	0.498123
-28.66	0.814697	-28.66	0.496391
-28.56	0.804932	-28.56	0.494659
-28.46	0.804932	-28.46	0.492927
-28.36	0.804932	-28.36	0.491195
-28.26	0.801025	-28.26	0.489463
-28.16	0.795166	-28.16	0.487731
-28.06	0.783447	-28.06	0.485999
-27.96	0.783447	-27.96	0.484267
-27.86	0.783447	-27.86	0.482535
-27.76	0.783447	-27.76	0.480803
-27.66	0.773682	-27.66	0.479071
-27.56	0.769775	-27.56	0.477339
-27.46	0.763916	-27.46	0.475607
-27.36	0.763916	-27.36	0.473875
-27.26	0.763916	-27.26	0.472143
-27.16	0.75415	-27.16	0.470411
-27.06	0.75415	-27.06	0.468679
-26.96	0.750244	-26.96	0.466947
-26.86	0.744385	-26.86	0.465215
-26.76	0.734619	-26.76	0.463483
-26.66	0.734619	-26.66	0.461751
-26.56	0.734619	-26.56	0.460019
-26.46	0.734619	-26.46	0.458287
-26.36	0.734619	-26.36	0.456555
-26.26	0.720947	-26.26	0.454823
-26.16	0.715088	-26.16	0.453091
-26.06	0.715088	-26.06	0.451359
-25.96	0.715088	-25.96	0.449627
-25.86	0.705322	-25.86	0.447895
-25.76	0.705322	-25.76	0.446163
-25.66	0.705322	-25.66	0.444431
-25.56	0.705322	-25.56	0.442699
-25.46	0.69165	-25.46	0.440967
-25.36	0.685791	-25.36	0.439235
-25.26	0.685791	-25.26	0.437503
-25.16	0.685791	-25.16	0.435771
-25.06	0.676025	-25.06	0.434039
-24.96	0.671387	-24.96	0.432307
-24.86	0.664307	-24.86	0.430575
-24.76	0.664307	-24.76	0.428843
-24.66	0.664307	-24.66	0.427111
-24.56	0.664307	-24.56	0.425379
-24.46	0.664307	-24.46	0.423647
-24.36	0.652588	-24.36	0.421915
-24.26	0.652588	-24.26	0.420183
-24.16	0.652588	-24.16	0.418451
-24.06	0.642822	-24.06	0.416719
-23.96	0.642822	-23.96	0.414987
-23.86	0.642822	-23.86	0.413255
-23.76	0.642822	-23.76	0.411523
-23.66	0.642822	-23.66	0.409791
-23.56	0.62915	-23.56	0.408059
-23.46	0.623291	-23.46	0.406327
-23.36	0.623291	-23.36	0.404595
-23.26	0.623291	-23.26	0.402863
-23.16	0.623291	-23.16	0.401131
-23.06	0.613525	-23.06	0.399399
-22.96	0.609619	-22.96	0.397667
-22.86	0.60376	-22.86	0.395935
-22.76	0.593994	-22.76	0.394203
-22.66	0.593994	-22.66	0.392471
-22.56	0.593994	-22.56	0.390739
-22.46	0.593994	-22.46	0.389007
-22.36	0.590088	-22.36	0.387275
-22.26	0.574463	-22.26	0.385543
-22.16	0.574463	-22.16	0.383811
-22.06	0.574463	-22.06	0.382079
-21.96	0.574463	-21.96	0.380347
-21.86	0.570557	-21.86	0.378615
-21.76	0.554932	-21.76	0.376883
-21.66	0.554932	-21.66	0.375151
-21.56	0.551025	-21.56	0.373419
-21.46	0.545166	-21.46	0.371687
-21.36	0.531494	-21.36	0.369955
-21.26	0.525635	-21.26	0.368223
-21.16	0.525635	-21.16	0.366491
-21.06	0.521729	-21.06	0.364759
-20.96	0.50415	-20.96	0.363027
-20.86	0.50415	-20.86	0.361295
-20.76	0.499512	-20.76	0.359563
-20.66	0.492432	-20.66	0.357831
