Cycle: 9  C15A160F_X	Cycle: 9  C15A160F_Y	Fitted Cycle: 9  C15A160F_X	Fitted Cycle: 9  C15A160F_Y
-45.26	0.575928	-45.26	-1.7226
-45.16	0.575928	-45.16	-1.71879
-45.06	0.570068	-45.06	-1.71498
-44.96	0.575928	-44.96	-1.71118
-44.86	0.575928	-44.86	-1.70737
-44.76	0.575928	-44.76	-1.70357
-44.66	0.570068	-44.66	-1.69976
-44.56	0.575928	-44.56	-1.69595
-44.46	0.575928	-44.46	-1.69215
-44.36	0.579834	-44.36	-1.68834
-44.26	0.575928	-44.26	-1.68454
-44.16	0.575928	-44.16	-1.68073
-44.06	0.575928	-44.06	-1.67692
-43.96	0.579834	-43.96	-1.67312
-43.86	0.585693	-43.86	-1.66931
-43.76	0.573975	-43.76	-1.66551
-43.66	0.573975	-43.66	-1.6617
-43.56	0.577881	-43.56	-1.65789
-43.46	0.58374	-43.46	-1.65409
-43.36	0.573975	-43.36	-1.65028
-43.26	0.577881	-43.26	-1.64648
-43.16	0.58374	-43.16	-1.64267
-43.06	0.573975	-43.06	-1.63886
-42.96	0.577881	-42.96	-1.63506
-42.86	0.58374	-42.86	-1.63125
-42.76	0.58374	-42.76	-1.62745
-42.66	0.588379	-42.66	-1.62364
-42.56	0.585693	-42.56	-1.61983
-42.46	0.585693	-42.46	-1.61603
-42.36	0.585693	-42.36	-1.61222
-42.26	0.585693	-42.26	-1.60842
-42.16	0.575928	-42.16	-1.60461
-42.06	0.575928	-42.06	-1.6008
-41.96	0.579834	-41.96	-1.597
-41.86	0.585693	-41.86	-1.59319
-41.76	0.575928	-41.76	-1.58939
-41.66	0.575928	-41.66	-1.58558
-41.56	0.579834	-41.56	-1.58177
-41.46	0.585693	-41.46	-1.57797
-41.36	0.575928	-41.36	-1.57416
-41.26	0.579834	-41.26	-1.57036
-41.16	0.585693	-41.16	-1.56655
-41.06	0.585693	-41.06	-1.56274
-40.96	0.585693	-40.96	-1.55894
-40.86	0.579834	-40.86	-1.55513
-40.76	0.585693	-40.76	-1.55133
-40.66	0.585693	-40.66	-1.54752
-40.56	0.5896	-40.56	-1.54371
-40.46	0.595459	-40.46	-1.53991
-40.36	0.595459	-40.36	-1.5361
-40.26	0.58374	-40.26	-1.5323
-40.16	0.58374	-40.16	-1.52849
-40.06	0.58374	-40.06	-1.52468
-39.96	0.587646	-39.96	-1.52088
-39.86	0.593506	-39.86	-1.51707
-39.76	0.58374	-39.76	-1.51327
-39.66	0.58374	-39.66	-1.50946
-39.56	0.587646	-39.56	-1.50565
-39.46	0.593506	-39.46	-1.50185
-39.36	0.58374	-39.36	-1.49804
-39.26	0.58374	-39.26	-1.49424
-39.16	0.587646	-39.16	-1.49043
-39.06	0.593506	-39.06	-1.48662
-38.96	0.58374	-38.96	-1.48282
-38.86	0.58374	-38.86	-1.47901
-38.76	0.588379	-38.76	-1.47521
-38.66	0.595459	-38.66	-1.4714
-38.56	0.585693	-38.56	-1.46759
-38.46	0.585693	-38.46	-1.46379
-38.36	0.5896	-38.36	-1.45998
-38.26	0.585693	-38.26	-1.45618
-38.16	0.585693	-38.16	-1.45237
-38.06	0.585693	-38.06	-1.44856
-37.96	0.5896	-37.96	-1.44476
-37.86	0.585693	-37.86	-1.44095
-37.76	0.585693	-37.76	-1.43715
-37.66	0.5896	-37.66	-1.43334
-37.56	0.585693	-37.56	-1.42953
-37.46	0.585693	-37.46	-1.42573
-37.36	0.5896	-37.36	-1.42192
-37.26	0.595459	-37.26	-1.41812
-37.16	0.58374	-37.16	-1.41431
-37.06	0.587646	-37.06	-1.4105
-36.96	0.593506	-36.96	-1.4067
-36.86	0.593506	-36.86	-1.40289
-36.76	0.58374	-36.76	-1.39909
-36.66	0.58374	-36.66	-1.39528
-36.56	0.587646	-36.56	-1.39147
-36.46	0.593506	-36.46	-1.38767
-36.36	0.58374	-36.36	-1.38386
-36.26	0.58374	-36.26	-1.38006
-36.16	0.58374	-36.16	-1.37625
-36.06	0.587646	-36.06	-1.37244
-35.96	0.58374	-35.96	-1.36864
-35.86	0.58374	-35.86	-1.36483
-35.76	0.58374	-35.76	-1.36103
-35.66	0.588379	-35.66	-1.35722
-35.56	0.585693	-35.56	-1.35341
-35.46	0.585693	-35.46	-1.34961
-35.36	0.585693	-35.36	-1.3458
-35.26	0.575928	-35.26	-1.342
-35.16	0.575928	-35.16	-1.33819
-35.06	0.575928	-35.06	-1.33438
-34.96	0.575928	-34.96	-1.33058
-34.86	0.579834	-34.86	-1.32677
-34.76	0.575928	-34.76	-1.32297
-34.66	0.575928	-34.66	-1.31916
-34.56	0.575928	-34.56	-1.31535
-34.46	0.566162	-34.46	-1.31155
-34.36	0.566162	-34.36	-1.30774
-34.26	0.566162	-34.26	-1.30394
-34.16	0.566162	-34.16	-1.30013
-34.06	0.566162	-34.06	-1.29632
-33.96	0.556396	-33.96	-1.29252
-33.86	0.556396	-33.86	-1.28871
-33.76	0.556396	-33.76	-1.28491
-33.66	0.556396	-33.66	-1.2811
-33.56	0.556396	-33.56	-1.27729
-33.46	0.544678	-33.46	-1.27349
-33.36	0.544678	-33.36	-1.26968
-33.26	0.544678	-33.26	-1.26588
-33.16	0.544678	-33.16	-1.26207
-33.06	0.534912	-33.06	-1.25826
-32.96	0.534912	-32.96	-1.25446
-32.86	0.534912	-32.86	-1.25065
-32.76	0.534912	-32.76	-1.24685
-32.66	0.534912	-32.66	-1.24304
-32.56	0.525146	-32.56	-1.23923
-32.46	0.525146	-32.46	-1.23543
-32.36	0.525146	-32.36	-1.23162
-32.26	0.525146	-32.26	-1.22782
-32.16	0.519287	-32.16	-1.22401
-32.06	0.525146	-32.06	-1.2202
-31.96	0.525146	-31.96	-1.2164
-31.86	0.525146	-31.86	-1.21259
-31.76	0.515381	-31.76	-1.20879
-31.66	0.515381	-31.66	-1.20498
-31.56	0.515381	-31.56	-1.20117
-31.46	0.515381	-31.46	-1.19737
-31.36	0.515381	-31.36	-1.19356
-31.26	0.505615	-31.26	-1.18976
-31.16	0.505615	-31.16	-1.18595
