Cycle: 14  CDAN-D1043K_X	Cycle: 14  CDAN-D1043K_Y	Fitted Cycle: 14  CDAN-D1043K_X	Fitted Cycle: 14  CDAN-D1043K_Y
-44.52	1.33545	-44.52	-2.226
-44.42	1.33496	-44.42	-2.221
-44.32	1.32764	-44.32	-2.216
-44.22	1.33545	-44.22	-2.211
-44.12	1.32764	-44.12	-2.206
-44.02	1.32568	-44.02	-2.201
-43.92	1.32764	-43.92	-2.196
-43.82	1.31592	-43.82	-2.191
-43.72	1.32373	-43.72	-2.186
-43.62	1.31592	-43.62	-2.181
-43.52	1.32373	-43.52	-2.176
-43.42	1.31592	-43.42	-2.171
-43.32	1.30615	-43.32	-2.166
-43.22	1.31396	-43.22	-2.161
-43.12	1.30615	-43.12	-2.156
-43.02	1.30615	-43.02	-2.151
-42.92	1.3042	-42.92	-2.146
-42.82	1.29639	-42.82	-2.141
-42.72	1.3042	-42.72	-2.136
-42.62	1.29639	-42.62	-2.131
-42.52	1.28467	-42.52	-2.126
-42.42	1.28467	-42.42	-2.121
-42.32	1.28418	-42.32	-2.116
-42.22	1.27686	-42.22	-2.111
-42.12	1.27686	-42.12	-2.106
-42.02	1.26709	-42.02	-2.101
-41.92	1.2749	-41.92	-2.096
-41.82	1.26709	-41.82	-2.091
-41.72	1.25732	-41.72	-2.086
-41.62	1.26514	-41.62	-2.081
-41.52	1.25732	-41.52	-2.076
-41.42	1.25537	-41.42	-2.071
-41.32	1.25732	-41.32	-2.066
-41.22	1.25342	-41.22	-2.061
-41.12	1.25537	-41.12	-2.056
-41.02	1.24561	-41.02	-2.051
-40.92	1.25342	-40.92	-2.046
-40.82	1.24561	-40.82	-2.041
-40.72	1.25342	-40.72	-2.036
-40.62	1.24561	-40.62	-2.031
-40.52	1.23584	-40.52	-2.026
-40.42	1.24365	-40.42	-2.021
-40.32	1.23584	-40.32	-2.016
-40.22	1.23584	-40.22	-2.011
-40.12	1.22607	-40.12	-2.006
-40.02	1.22607	-40.02	-2.001
-39.92	1.22412	-39.92	-1.996
-39.82	1.22607	-39.82	-1.991
-39.72	1.21631	-39.72	-1.986
-39.62	1.20459	-39.62	-1.981
-39.52	1.20459	-39.52	-1.976
-39.42	1.2041	-39.42	-1.971
-39.32	1.20654	-39.32	-1.966
-39.22	1.19678	-39.22	-1.961
-39.12	1.19482	-39.12	-1.956
-39.02	1.19678	-39.02	-1.951
-38.92	1.18701	-38.92	-1.946
-38.82	1.19482	-38.82	-1.941
-38.72	1.18701	-38.72	-1.936
-38.62	1.18701	-38.62	-1.931
-38.52	1.17725	-38.52	-1.926
-38.42	1.17529	-38.42	-1.921
-38.32	1.17725	-38.32	-1.916
-38.22	1.17725	-38.22	-1.911
-38.12	1.16553	-38.12	-1.906
-38.02	1.16357	-38.02	-1.901
-37.92	1.16553	-37.92	-1.896
-37.82	1.15576	-37.82	-1.891
-37.72	1.16357	-37.72	-1.886
-37.62	1.15576	-37.62	-1.881
-37.52	1.16357	-37.52	-1.876
-37.42	1.15576	-37.42	-1.871
-37.32	1.15576	-37.32	-1.866
-37.22	1.16357	-37.22	-1.861
-37.12	1.15576	-37.12	-1.856
-37.02	1.15576	-37.02	-1.851
-36.92	1.15527	-36.92	-1.846
-36.82	1.15771	-36.82	-1.841
-36.72	1.14795	-36.72	-1.836
-36.62	1.13623	-36.62	-1.831
-36.52	1.13623	-36.52	-1.826
-36.42	1.14404	-36.42	-1.821
-36.32	1.13623	-36.32	-1.816
-36.22	1.13623	-36.22	-1.811
-36.12	1.12646	-36.12	-1.806
-36.02	1.13428	-36.02	-1.801
-35.92	1.12646	-35.92	-1.796
-35.82	1.12646	-35.82	-1.791
-35.72	1.1167	-35.72	-1.786
-35.62	1.11475	-35.62	-1.781
-35.52	1.1167	-35.52	-1.776
-35.42	1.10693	-35.42	-1.771
-35.32	1.11475	-35.32	-1.766
-35.22	1.1167	-35.22	-1.761
-35.12	1.10693	-35.12	-1.756
-35.02	1.09717	-35.02	-1.751
-34.92	1.09717	-34.92	-1.746
-34.82	1.10498	-34.82	-1.741
-34.72	1.09521	-34.72	-1.736
-34.62	1.08545	-34.62	-1.731
-34.52	1.09326	-34.52	-1.726
-34.42	1.08545	-34.42	-1.721
-34.32	1.08545	-34.32	-1.716
-34.22	1.07568	-34.22	-1.711
-34.12	1.07568	-34.12	-1.706
-34.02	1.07373	-34.02	-1.701
-33.92	1.07568	-33.92	-1.696
-33.82	1.06592	-33.82	-1.691
-33.72	1.06592	-33.72	-1.686
-33.62	1.05615	-33.62	-1.681
-33.52	1.05615	-33.52	-1.676
-33.42	1.04639	-33.42	-1.671
-33.32	1.05566	-33.32	-1.666
-33.22	1.04639	-33.22	-1.661
-33.12	1.04639	-33.12	-1.656
-33.02	1.03662	-33.02	-1.651
-32.92	1.03662	-32.92	-1.646
-32.82	1.02686	-32.82	-1.641
-32.72	1.02686	-32.72	-1.636
-32.62	1.01709	-32.62	-1.631
-32.52	1.01709	-32.52	-1.626
-32.42	1.01514	-32.42	-1.621
-32.32	1.01709	-32.32	-1.616
-32.22	1.00732	-32.22	-1.611
-32.12	1.00732	-32.12	-1.606
-32.02	0.997559	-32.02	-1.601
-31.92	0.997559	-31.92	-1.596
-31.82	0.987793	-31.82	-1.591
-31.72	0.976074	-31.72	-1.586
-31.62	0.983887	-31.62	-1.581
-31.52	0.98584	-31.52	-1.576
-31.42	0.976074	-31.42	-1.571
-31.32	0.976074	-31.32	-1.566
-31.22	0.966309	-31.22	-1.561
-31.12	0.966309	-31.12	-1.556
-31.02	0.964355	-31.02	-1.551
-30.92	0.956543	-30.92	-1.546
-30.82	0.956543	-30.82	-1.541
-30.72	0.946777	-30.72	-1.536
-30.62	0.946777	-30.62	-1.531
-30.52	0.937012	-30.52	-1.526
-30.42	0.937012	-30.42	-1.521
