Cycle: 12  CDAN-1073A_X	Cycle: 12  CDAN-1073A_Y	Fitted Cycle: 12  CDAN-1073A_X	Fitted Cycle: 12  CDAN-1073A_Y
-60.02	1.68433	-60.02	-3.001
-59.92	1.68237	-59.92	-2.996
-59.82	1.67456	-59.82	-2.991
-59.72	1.67456	-59.72	-2.986
-59.62	1.66479	-59.62	-2.981
-59.52	1.66284	-59.52	-2.976
-59.42	1.66479	-59.42	-2.971
-59.32	1.65503	-59.32	-2.966
-59.22	1.64526	-59.22	-2.961
-59.12	1.65308	-59.12	-2.956
-59.02	1.63745	-59.02	-2.951
-58.92	1.62378	-58.92	-2.946
-58.82	1.62378	-58.82	-2.941
-58.72	1.61401	-58.72	-2.936
-58.62	1.60425	-58.62	-2.931
-58.52	1.61206	-58.52	-2.926
-58.42	1.60425	-58.42	-2.921
-58.32	1.60425	-58.32	-2.916
-58.22	1.59448	-58.22	-2.911
-58.12	1.58472	-58.12	-2.906
-58.02	1.57495	-58.02	-2.901
-57.92	1.58423	-57.92	-2.896
-57.82	1.5769	-57.82	-2.891
-57.72	1.56714	-57.72	-2.886
-57.62	1.56714	-57.62	-2.881
-57.52	1.56323	-57.52	-2.876
-57.42	1.56323	-57.42	-2.871
-57.32	1.56519	-57.32	-2.866
-57.22	1.56323	-57.22	-2.861
-57.12	1.55542	-57.12	-2.856
-57.02	1.55542	-57.02	-2.851
-56.92	1.54565	-56.92	-2.846
-56.82	1.5437	-56.82	-2.841
-56.72	1.54565	-56.72	-2.836
-56.62	1.53589	-56.62	-2.831
-56.52	1.53394	-56.52	-2.826
-56.42	1.53589	-56.42	-2.821
-56.32	1.52417	-56.32	-2.816
-56.22	1.5144	-56.22	-2.811
-56.12	1.5144	-56.12	-2.806
-56.02	1.50464	-56.02	-2.801
-55.92	1.49487	-55.92	-2.796
-55.82	1.50269	-55.82	-2.791
-55.72	1.49487	-55.72	-2.786
-55.62	1.48511	-55.62	-2.781
-55.52	1.48315	-55.52	-2.776
-55.42	1.48511	-55.42	-2.771
-55.32	1.47534	-55.32	-2.766
-55.22	1.46362	-55.22	-2.761
-55.12	1.46362	-55.12	-2.756
-55.02	1.45386	-55.02	-2.751
-54.92	1.45386	-54.92	-2.746
-54.82	1.44409	-54.82	-2.741
-54.72	1.4436	-54.72	-2.736
-54.62	1.44604	-54.62	-2.731
-54.52	1.43628	-54.52	-2.726
-54.42	1.43628	-54.42	-2.721
-54.32	1.42651	-54.32	-2.716
-54.22	1.42651	-54.22	-2.711
-54.12	1.40747	-54.12	-2.706
-54.02	1.4436	-54.02	-2.701
-53.92	1.46362	-53.92	-2.696
-53.82	1.46362	-53.82	-2.691
-53.72	1.46167	-53.72	-2.686
-53.62	1.48071	-53.62	-2.681
-53.52	1.48315	-53.52	-2.676
-53.42	1.45044	-53.42	-2.671
-53.32	1.41284	-53.32	-2.666
-53.22	1.35474	-53.22	-2.661
-53.12	1.30347	-53.12	-2.656
-53.02	1.26294	-53.02	-2.651
-52.92	1.22144	-52.92	-2.646
-52.82	1.18237	-52.82	-2.641
-52.72	1.17651	-52.72	-2.636
-52.62	1.17456	-52.62	-2.631
-52.52	1.17651	-52.52	-2.626
-52.42	1.10083	-52.42	-2.621
-52.32	1.08276	-52.32	-2.616
-52.22	1.09253	-52.22	-2.611
-52.12	1.11743	-52.12	-2.606
-52.02	1.17065	-52.02	-2.601
-51.92	1.20142	-51.92	-2.596
-51.82	1.21948	-51.82	-2.591
-51.72	1.2312	-51.72	-2.586
-51.62	1.2522	-51.62	-2.581
-51.52	1.24683	-51.52	-2.576
-51.42	1.24487	-51.42	-2.571
-51.32	1.24292	-51.32	-2.566
-51.22	1.25269	-51.22	-2.561
-51.12	1.25269	-51.12	-2.556
-51.02	1.25464	-51.02	-2.551
-50.92	1.25269	-50.92	-2.546
