Cycle: 6  C15R22E_X	Cycle: 6  C15R22E_Y	Fitted Cycle: 6  C15R22E_X	Fitted Cycle: 6  C15R22E_Y
-60.06	0.762695	-60.06	-0.23069
-59.96	0.758789	-59.96	-0.230306
-59.86	0.75293	-59.86	-0.229922
-59.76	0.75293	-59.76	-0.229538
-59.66	0.75293	-59.66	-0.229154
-59.56	0.75293	-59.56	-0.22877
-59.46	0.75293	-59.46	-0.228386
-59.36	0.75293	-59.36	-0.228002
-59.26	0.75293	-59.26	-0.227618
-59.16	0.75293	-59.16	-0.227234
-59.06	0.75293	-59.06	-0.226849
-58.96	0.75293	-58.96	-0.226465
-58.86	0.743164	-58.86	-0.226081
-58.76	0.75293	-58.76	-0.225697
-58.66	0.75293	-58.66	-0.225313
-58.56	0.75293	-58.56	-0.224929
-58.46	0.75293	-58.46	-0.224545
-58.36	0.75293	-58.36	-0.224161
-58.26	0.75293	-58.26	-0.223777
-58.16	0.75293	-58.16	-0.223393
-58.06	0.743164	-58.06	-0.223008
-57.96	0.74707	-57.96	-0.222624
-57.86	0.75293	-57.86	-0.22224
-57.76	0.75293	-57.76	-0.221856
-57.66	0.749023	-57.66	-0.221472
-57.56	0.74707	-57.56	-0.221088
-57.46	0.75293	-57.46	-0.220704
-57.36	0.75293	-57.36	-0.22032
-57.26	0.75293	-57.26	-0.219936
-57.16	0.75293	-57.16	-0.219552
-57.06	0.760742	-57.06	-0.219167
-56.96	0.772461	-56.96	-0.218783
-56.86	0.772461	-56.86	-0.218399
-56.76	0.772461	-56.76	-0.218015
-56.66	0.762695	-56.66	-0.217631
-56.56	0.762695	-56.56	-0.217247
-56.46	0.762695	-56.46	-0.216863
-56.36	0.762695	-56.36	-0.216479
-56.26	0.762695	-56.26	-0.216095
-56.16	0.766602	-56.16	-0.215711
-56.06	0.772461	-56.06	-0.215326
-55.96	0.762695	-55.96	-0.214942
-55.86	0.762695	-55.86	-0.214558
-55.76	0.762695	-55.76	-0.214174
-55.66	0.762695	-55.66	-0.21379
-55.56	0.762695	-55.56	-0.213406
-55.46	0.762695	-55.46	-0.213022
-55.36	0.75293	-55.36	-0.212638
-55.26	0.75293	-55.26	-0.212254
-55.16	0.75293	-55.16	-0.21187
-55.06	0.773193	-55.06	-0.211485
-54.96	0.803711	-54.96	-0.211101
-54.86	0.793945	-54.86	-0.210717
-54.76	0.801758	-54.76	-0.210333
-54.66	0.817383	-54.66	-0.209949
-54.56	0.831787	-54.56	-0.209565
-54.46	0.852539	-54.46	-0.209181
-54.36	0.87207	-54.36	-0.208797
-54.26	0.883789	-54.26	-0.208413
-54.16	0.858398	-54.16	-0.208029
-54.06	0.806885	-54.06	-0.207644
-53.96	0.736572	-53.96	-0.20726
-53.86	0.66626	-53.86	-0.206876
-53.76	0.595947	-53.76	-0.206492
-53.66	0.53418	-53.66	-0.206108
-53.56	0.42041	-53.56	-0.205724
-53.46	0.307617	-53.46	-0.20534
-53.36	0.293945	-53.36	-0.204956
-53.26	0.293945	-53.26	-0.204572
-53.16	0.329834	-53.16	-0.204188
-53.06	0.400146	-53.06	-0.203803
-52.96	0.462646	-52.96	-0.203419
-52.86	0.508789	-52.86	-0.203035
-52.76	0.540039	-52.76	-0.202651
-52.66	0.560303	-52.66	-0.202267
-52.56	0.581055	-52.56	-0.201883
-52.46	0.59668	-52.46	-0.201499
-52.36	0.602539	-52.36	-0.201115
-52.26	0.59668	-52.26	-0.200731
-52.16	0.602539	-52.16	-0.200347
-52.06	0.606445	-52.06	-0.199962
-51.96	0.612305	-51.96	-0.199578
-51.86	0.606445	-51.86	-0.199194
-51.76	0.616943	-51.76	-0.19881
-51.66	0.62793	-51.66	-0.198426
-51.56	0.637695	-51.56	-0.198042
-51.46	0.643555	-51.46	-0.197658
-51.36	0.637695	-51.36	-0.197274
-51.26	0.643555	-51.26	-0.19689
-51.16	0.643555	-51.16	-0.196506
-51.06	0.647461	-51.06	-0.196121
-50.96	0.657227	-50.96	-0.195737
-50.86	0.657227	-50.86	-0.195353
-50.76	0.663086	-50.76	-0.194969
-50.66	0.663086	-50.66	-0.194585
-50.56	0.663086	-50.56	-0.194201
-50.46	0.666992	-50.46	-0.193817
-50.36	0.676758	-50.36	-0.193433
-50.26	0.682617	-50.26	-0.193049
-50.16	0.672852	-50.16	-0.192665
-50.06	0.672852	-50.06	-0.19228
-49.96	0.672852	-49.96	-0.191896
-49.86	0.672852	-49.86	-0.191512
-49.76	0.67749	-49.76	-0.191128
-49.66	0.674805	-49.66	-0.190744
-49.56	0.674805	-49.56	-0.19036
-49.46	0.678711	-49.46	-0.189976
-49.36	0.68457	-49.36	-0.189592
-49.26	0.68457	-49.26	-0.189208
-49.16	0.672852	-49.16	-0.188824
-49.06	0.672852	-49.06	-0.188439
-48.96	0.672852	-48.96	-0.188055
-48.86	0.676758	-48.86	-0.187671
-48.76	0.686523	-48.76	-0.187287
-48.66	0.686523	-48.66	-0.186903
-48.56	0.696289	-48.56	-0.186519
-48.46	0.702148	-48.46	-0.186135
-48.36	0.706055	-48.36	-0.185751
-48.26	0.702148	-48.26	-0.185367
-48.16	0.702148	-48.16	-0.184983
-48.06	0.702148	-48.06	-0.184598
-47.96	0.702148	-47.96	-0.184214
-47.86	0.702148	-47.86	-0.18383
-47.76	0.702148	-47.76	-0.183446
-47.66	0.692383	-47.66	-0.183062
-47.56	0.692383	-47.56	-0.182678
-47.46	0.692383	-47.46	-0.182294
-47.36	0.682617	-47.36	-0.18191
