Cycle: 7  C15D171A_X	Cycle: 7  C15D171A_Y	Fitted Cycle: 7  C15D171A_X	Fitted Cycle: 7  C15D171A_Y
-45.16	1.00708	-45.16	-2.31355
-45.06	1.00708	-45.06	-2.30842
-44.96	1.00708	-44.96	-2.3033
-44.86	0.997314	-44.86	-2.29818
-44.76	1.00122	-44.76	-2.29305
-44.66	1.00708	-44.66	-2.28793
-44.56	0.997314	-44.56	-2.28281
-44.46	0.997314	-44.46	-2.27769
-44.36	1.00122	-44.36	-2.27256
-44.26	0.997314	-44.26	-2.26744
-44.16	0.997314	-44.16	-2.26232
-44.06	0.987549	-44.06	-2.25719
-43.96	0.991455	-43.96	-2.25207
-43.86	0.987549	-43.86	-2.24695
-43.76	0.987549	-43.76	-2.24182
-43.66	0.987549	-43.66	-2.2367
-43.56	0.977783	-43.56	-2.23158
-43.46	0.981689	-43.46	-2.22646
-43.36	0.97583	-43.36	-2.22133
-43.26	0.97583	-43.26	-2.21621
-43.16	0.97583	-43.16	-2.21109
-43.06	0.969971	-43.06	-2.20596
-42.96	0.97583	-42.96	-2.20084
-42.86	0.97583	-42.86	-2.19572
-42.76	0.966064	-42.76	-2.19059
-42.66	0.966064	-42.66	-2.18547
-42.56	0.970703	-42.56	-2.18035
-42.46	0.968018	-42.46	-2.17523
-42.36	0.968018	-42.36	-2.1701
-42.26	0.958252	-42.26	-2.16498
-42.16	0.958252	-42.16	-2.15986
-42.06	0.948486	-42.06	-2.15473
-41.96	0.952393	-41.96	-2.14961
-41.86	0.958252	-41.86	-2.14449
-41.76	0.948486	-41.76	-2.13936
-41.66	0.948486	-41.66	-2.13424
-41.56	0.952393	-41.56	-2.12912
-41.46	0.948486	-41.46	-2.124
-41.36	0.948486	-41.36	-2.11887
-41.26	0.952393	-41.26	-2.11375
-41.16	0.948486	-41.16	-2.10863
-41.06	0.948486	-41.06	-2.1035
-40.96	0.948486	-40.96	-2.09838
-40.86	0.940674	-40.86	-2.09326
-40.76	0.946533	-40.76	-2.08813
-40.66	0.946533	-40.66	-2.08301
-40.56	0.936768	-40.56	-2.07789
-40.46	0.936768	-40.46	-2.07277
-40.36	0.940674	-40.36	-2.06764
-40.26	0.946533	-40.26	-2.06252
-40.16	0.936768	-40.16	-2.0574
-40.06	0.936768	-40.06	-2.05227
-39.96	0.936768	-39.96	-2.04715
-39.86	0.936768	-39.86	-2.04203
-39.76	0.927002	-39.76	-2.0369
-39.66	0.927002	-39.66	-2.03178
-39.56	0.927002	-39.56	-2.02666
-39.46	0.930908	-39.46	-2.02154
-39.36	0.927002	-39.36	-2.01641
-39.26	0.927002	-39.26	-2.01129
-39.16	0.927002	-39.16	-2.00617
-39.06	0.927002	-39.06	-2.00104
-38.96	0.917236	-38.96	-1.99592
-38.86	0.921143	-38.86	-1.9908
-38.76	0.917236	-38.76	-1.98567
-38.66	0.917236	-38.66	-1.98055
-38.56	0.917236	-38.56	-1.97543
-38.46	0.917236	-38.46	-1.97031
-38.36	0.907471	-38.36	-1.96518
-38.26	0.907471	-38.26	-1.96006
-38.16	0.907471	-38.16	-1.95494
-38.06	0.907471	-38.06	-1.94981
-37.96	0.900391	-37.96	-1.94469
-37.86	0.907471	-37.86	-1.93957
-37.76	0.897705	-37.76	-1.93444
-37.66	0.897705	-37.66	-1.92932
-37.56	0.901611	-37.56	-1.9242
-37.46	0.897705	-37.46	-1.91908
-37.36	0.897705	-37.36	-1.91395
-37.26	0.897705	-37.26	-1.90883
-37.16	0.887939	-37.16	-1.90371
-37.06	0.891846	-37.06	-1.89858
-36.96	0.897705	-36.96	-1.89346
-36.86	0.887939	-36.86	-1.88834
-36.76	0.887939	-36.76	-1.88321
-36.66	0.887939	-36.66	-1.87809
-36.56	0.887939	-36.56	-1.87297
-36.46	0.878174	-36.46	-1.86785
-36.36	0.878174	-36.36	-1.86272
-36.26	0.868408	-36.26	-1.8576
-36.16	0.868408	-36.16	-1.85248
-36.06	0.872314	-36.06	-1.84735
-35.96	0.868408	-35.96	-1.84223
-35.86	0.868408	-35.86	-1.83711
-35.76	0.868408	-35.76	-1.83198
-35.66	0.856689	-35.66	-1.82686
-35.56	0.856689	-35.56	-1.82174
-35.46	0.856689	-35.46	-1.81662
-35.36	0.856689	-35.36	-1.81149
-35.26	0.85083	-35.26	-1.80637
-35.16	0.856689	-35.16	-1.80125
-35.06	0.856689	-35.06	-1.79612
-34.96	0.846924	-34.96	-1.791
-34.86	0.846924	-34.86	-1.78588
-34.76	0.846924	-34.76	-1.78075
-34.66	0.837158	-34.66	-1.77563
-34.56	0.837158	-34.56	-1.77051
-34.46	0.837158	-34.46	-1.76539
-34.36	0.837158	-34.36	-1.76026
-34.26	0.827393	-34.26	-1.75514
-34.16	0.827393	-34.16	-1.75002
-34.06	0.827393	-34.06	-1.74489
-33.96	0.817627	-33.96	-1.73977
-33.86	0.817627	-33.86	-1.73465
-33.76	0.817627	-33.76	-1.72952
-33.66	0.817627	-33.66	-1.7244
-33.56	0.807861	-33.56	-1.71928
-33.46	0.807861	-33.46	-1.71416
-33.36	0.807861	-33.36	-1.70903
-33.26	0.798096	-33.26	-1.70391
-33.16	0.798096	-33.16	-1.69879
-33.06	0.798096	-33.06	-1.69366
-32.96	0.78833	-32.96	-1.68854
-32.86	0.78833	-32.86	-1.68342
-32.76	0.78833	-32.76	-1.67829
-32.66	0.776611	-32.66	-1.67317
-32.56	0.776611	-32.56	-1.66805
-32.46	0.776611	-32.46	-1.66293
-32.36	0.776611	-32.36	-1.6578
-32.26	0.766846	-32.26	-1.65268
-32.16	0.766846	-32.16	-1.64756
-32.06	0.766846	-32.06	-1.64243
-31.96	0.766846	-31.96	-1.63731
-31.86	0.75708	-31.86	-1.63219
