Cycle: 13  CDAN-E1046A_X	Cycle: 13  CDAN-E1046A_Y	Fitted Cycle: 13  CDAN-E1046A_X	Fitted Cycle: 13  CDAN-E1046A_Y
-44.52	1.35205	-44.52	-2.226
-44.42	1.34424	-44.42	-2.221
-44.32	1.35205	-44.32	-2.216
-44.22	1.34424	-44.22	-2.211
-44.12	1.33447	-44.12	-2.206
-44.02	1.34229	-44.02	-2.201
-43.92	1.33252	-43.92	-2.196
-43.82	1.33057	-43.82	-2.191
-43.72	1.33252	-43.72	-2.186
-43.62	1.32275	-43.62	-2.181
-43.52	1.3208	-43.52	-2.176
-43.42	1.32275	-43.42	-2.171
-43.32	1.32227	-43.32	-2.166
-43.22	1.31494	-43.22	-2.161
-43.12	1.32275	-43.12	-2.156
-43.02	1.31494	-43.02	-2.151
-42.92	1.31299	-42.92	-2.146
-42.82	1.31494	-42.82	-2.141
-42.72	1.31104	-42.72	-2.136
-42.62	1.30322	-42.62	-2.131
-42.52	1.30322	-42.52	-2.126
-42.42	1.29346	-42.42	-2.121
-42.32	1.2915	-42.32	-2.116
-42.22	1.29346	-42.22	-2.111
-42.12	1.28369	-42.12	-2.106
-42.02	1.27393	-42.02	-2.101
-41.92	1.28174	-41.92	-2.096
-41.82	1.27393	-41.82	-2.091
-41.72	1.27197	-41.72	-2.086
-41.62	1.27393	-41.62	-2.081
-41.52	1.27002	-41.52	-2.076
-41.42	1.27197	-41.42	-2.071
-41.32	1.27148	-41.32	-2.066
-41.22	1.27393	-41.22	-2.061
-41.12	1.27197	-41.12	-2.056
-41.02	1.26416	-41.02	-2.051
-40.92	1.27197	-40.92	-2.046
-40.82	1.27197	-40.82	-2.041
-40.72	1.26416	-40.72	-2.036
-40.62	1.27197	-40.62	-2.031
-40.52	1.26416	-40.52	-2.026
-40.42	1.27197	-40.42	-2.021
-40.32	1.26416	-40.32	-2.016
-40.22	1.25439	-40.22	-2.011
-40.12	1.25439	-40.12	-2.006
-40.02	1.25049	-40.02	-2.001
-39.92	1.25244	-39.92	-1.996
-39.82	1.25049	-39.82	-1.991
-39.72	1.25244	-39.72	-1.986
-39.62	1.24268	-39.62	-1.981
-39.52	1.24072	-39.52	-1.976
-39.42	1.24268	-39.42	-1.971
-39.32	1.23291	-39.32	-1.966
-39.22	1.24219	-39.22	-1.961
-39.12	1.23486	-39.12	-1.956
-39.02	1.23291	-39.02	-1.951
-38.92	1.23486	-38.92	-1.946
-38.82	1.23291	-38.82	-1.941
-38.72	1.23486	-38.72	-1.936
-38.62	1.22314	-38.62	-1.931
-38.52	1.23096	-38.52	-1.926
-38.42	1.22314	-38.42	-1.921
-38.32	1.22314	-38.32	-1.916
-38.22	1.21338	-38.22	-1.911
-38.12	1.20361	-38.12	-1.906
-38.02	1.21143	-38.02	-1.901
-37.92	1.20361	-37.92	-1.896
-37.82	1.21143	-37.82	-1.891
-37.72	1.20361	-37.72	-1.886
-37.62	1.20361	-37.62	-1.881
-37.52	1.20166	-37.52	-1.876
-37.42	1.19385	-37.42	-1.871
-37.32	1.20166	-37.32	-1.866
-37.22	1.19189	-37.22	-1.861
-37.12	1.20117	-37.12	-1.856
-37.02	1.19385	-37.02	-1.851
-36.92	1.19385	-36.92	-1.846
-36.82	1.19189	-36.82	-1.841
-36.72	1.19385	-36.72	-1.836
-36.62	1.18408	-36.62	-1.831
-36.52	1.17432	-36.52	-1.826
-36.42	1.18213	-36.42	-1.821
-36.32	1.17432	-36.32	-1.816
-36.22	1.17432	-36.22	-1.811
-36.12	1.17236	-36.12	-1.806
-36.02	1.16455	-36.02	-1.801
-35.92	1.17236	-35.92	-1.796
-35.82	1.16455	-35.82	-1.791
-35.72	1.16455	-35.72	-1.786
-35.62	1.16064	-35.62	-1.781
-35.52	1.15283	-35.52	-1.776
-35.42	1.16064	-35.42	-1.771
-35.32	1.15283	-35.32	-1.766
-35.22	1.15283	-35.22	-1.761
-35.12	1.15088	-35.12	-1.756
-35.02	1.15283	-35.02	-1.751
-34.92	1.14307	-34.92	-1.746
-34.82	1.14307	-34.82	-1.741
-34.72	1.14258	-34.72	-1.736
-34.62	1.14502	-34.62	-1.731
-34.52	1.13525	-34.52	-1.726
-34.42	1.12549	-34.42	-1.721
-34.32	1.1333	-34.32	-1.716
-34.22	1.12354	-34.22	-1.711
-34.12	1.12354	-34.12	-1.706
-34.02	1.11377	-34.02	-1.701
-33.92	1.11377	-33.92	-1.696
-33.82	1.11182	-33.82	-1.691
-33.72	1.11377	-33.72	-1.686
-33.62	1.104	-33.62	-1.681
-33.52	1.104	-33.52	-1.676
-33.42	1.09424	-33.42	-1.671
-33.32	1.10205	-33.32	-1.666
-33.22	1.09424	-33.22	-1.661
-33.12	1.09424	-33.12	-1.656
-33.02	1.08447	-33.02	-1.651
-32.92	1.08447	-32.92	-1.646
-32.82	1.07471	-32.82	-1.641
-32.72	1.07471	-32.72	-1.636
-32.62	1.0708	-32.62	-1.631
-32.52	1.07275	-32.52	-1.626
-32.42	1.06299	-32.42	-1.621
-32.32	1.06299	-32.32	-1.616
-32.22	1.05322	-32.22	-1.611
-32.12	1.05322	-32.12	-1.606
-32.02	1.05127	-32.02	-1.601
-31.92	1.05322	-31.92	-1.596
-31.82	1.04346	-31.82	-1.591
-31.72	1.04346	-31.72	-1.586
-31.62	1.03369	-31.62	-1.581
-31.52	1.03369	-31.52	-1.576
-31.42	1.02393	-31.42	-1.571
-31.32	1.02393	-31.32	-1.566
-31.22	1.01416	-31.22	-1.561
-31.12	1.01416	-31.12	-1.556
-31.02	1.01221	-31.02	-1.551
-30.92	1.01416	-30.92	-1.546
-30.82	1.01416	-30.82	-1.541
-30.72	1.00244	-30.72	-1.536
-30.62	1.00244	-30.62	-1.531
-30.52	0.992676	-30.52	-1.526
-30.42	1.00049	-30.42	-1.521
-30.32	0.992676	-30.32	-1.516
-30.22	0.992676	-30.22	-1.511
-30.12	0.98291	-30.12	-1.506
-30.02	0.98291	-30.02	-1.501
-29.92	0.973145	-29.92	-1.496
-29.82	0.973145	-29.82	-1.491
-29.72	0.963379	-29.72	-1.486
-29.62	0.953613	-29.62	-1.481
-29.52	0.961426	-29.52	-1.476
-29.42	0.953613	-29.42	-1.471
-29.32	0.953613	-29.32	-1.466
-29.22	0.953613	-29.22	-1.461
-29.12	0.941895	-29.12	-1.456
-29.02	0.932129	-29.02	-1.451
-28.92	0.932129	-28.92	-1.446
-28.82	0.922363	-28.82	-1.441
-28.72	0.922363	-28.72	-1.436
-28.62	0.912598	-28.62	-1.431
-28.52	0.921875	-28.52	-1.426
-28.42	0.914551	-28.42	-1.421
-28.32	0.914551	-28.32	-1.416
-28.22	0.904785	-28.22	-1.411
-28.12	0.904785	-28.12	-1.406
-28.02	0.89502	-28.02	-1.401
-27.92	0.893066	-27.92	-1.396
-27.82	0.89502	-27.82	-1.391
-27.72	0.883301	-27.72	-1.386
-27.62	0.883301	-27.62	-1.381
-27.52	0.873535	-27.52	-1.376
-27.42	0.873535	-27.42	-1.371
-27.32	0.86377	-27.32	-1.366
-27.22	0.86377	-27.22	-1.361
-27.12	0.854004	-27.12	-1.356
-27.02	0.854004	-27.02	-1.351
-26.92	0.844238	-26.92	-1.346
-26.82	0.842285	-26.82	-1.341
-26.72	0.844238	-26.72	-1.336
-26.62	0.834473	-26.62	-1.331
-26.52	0.834473	-26.52	-1.326
-26.42	0.824707	-26.42	-1.321
-26.32	0.814941	-26.32	-1.316
-26.22	0.814941	-26.22	-1.311
-26.12	0.803223	-26.12	-1.306
-26.02	0.811035	-26.02	-1.301
-25.92	0.803223	-25.92	-1.296
-25.82	0.793457	-25.82	-1.291
-25.72	0.793457	-25.72	-1.286
-25.62	0.783691	-25.62	-1.281
-25.52	0.773926	-25.52	-1.276
-25.42	0.773926	-25.42	-1.271
-25.32	0.76416	-25.32	-1.266
-25.22	0.76416	-25.22	-1.261
-25.12	0.754395	-25.12	-1.256
-25.02	0.744629	-25.02	-1.251
-24.92	0.752441	-24.92	-1.246
-24.82	0.754395	-24.82	-1.241
-24.72	0.742676	-24.72	-1.236
-24.62	0.742676	-24.62	-1.231
-24.52	0.73291	-24.52	-1.226
-24.42	0.740723	-24.42	-1.221
-24.32	0.73291	-24.32	-1.216
-24.22	0.73291	-24.22	-1.211
-24.12	0.723145	-24.12	-1.206
-24.02	0.723145	-24.02	-1.201
-23.92	0.713379	-23.92	-1.196
-23.82	0.711426	-23.82	-1.191
-23.72	0.713379	-23.72	-1.186
-23.62	0.703613	-23.62	-1.181
-23.52	0.703613	-23.52	-1.176
-23.42	0.693848	-23.42	-1.171
-23.32	0.693848	-23.32	-1.166
-23.22	0.682129	-23.22	-1.161
-23.12	0.682129	-23.12	-1.156
-23.02	0.672363	-23.02	-1.151
-22.92	0.672363	-22.92	-1.146
-22.82	0.662598	-22.82	-1.141
-22.72	0.652832	-22.72	-1.136
-22.62	0.652832	-22.62	-1.131
-22.52	0.643066	-22.52	-1.126
-22.42	0.633301	-22.42	-1.121
-22.32	0.623535	-22.32	-1.116
-22.22	0.623535	-22.22	-1.111
-22.12	0.621582	-22.12	-1.106
-22.02	0.623535	-22.02	-1.101
-21.92	0.61377	-21.92	-1.096
-21.82	0.602051	-21.82	-1.091
-21.72	0.602051	-21.72	-1.086
-21.62	0.592285	-21.62	-1.081
-21.52	0.592285	-21.52	-1.076
-21.42	0.58252	-21.42	-1.071
-21.32	0.572754	-21.32	-1.066
-21.22	0.572754	-21.22	-1.061
-21.12	0.562988	-21.12	-1.056
-21.02	0.562988	-21.02	-1.051
-20.92	0.553223	-20.92	-1.046
-20.82	0.543457	-20.82	-1.041
-20.72	0.543457	-20.72	-1.036
-20.62	0.533691	-20.62	-1.031
-20.52	0.533691	-20.52	-1.026
-20.42	0.521973	-20.42	-1.021
-20.32	0.512207	-20.32	-1.016
-20.22	0.512207	-20.22	-1.011
-20.12	0.502441	-20.12	-1.006
-20.02	0.502441	-20.02	-1.001
-19.92	0.492676	-19.92	-0.996
-19.82	0.48291	-19.82	-0.991
-19.72	0.48291	-19.72	-0.986
-19.62	0.473145	-19.62	-0.981
-19.52	0.473145	-19.52	-0.976
-19.42	0.463379	-19.42	-0.971
-19.32	0.453613	-19.32	-0.966
-19.22	0.453613	-19.22	-0.961
-19.12	0.441895	-19.12	-0.956
-19.02	0.434082	-19.02	-0.951
-18.92	0.422363	-18.92	-0.946
-18.82	0.422363	-18.82	-0.941
-18.72	0.412598	-18.72	-0.936
-18.62	0.402832	-18.62	-0.931
-18.52	0.402832	-18.52	-0.926
-18.42	0.393066	-18.42	-0.921
-18.32	0.393066	-18.32	-0.916
-18.22	0.383301	-18.22	-0.911
-18.12	0.373535	-18.12	-0.906
-18.02	0.373535	-18.02	-0.901
-17.92	0.36377	-17.92	-0.896
-17.82	0.36377	-17.82	-0.891
-17.72	0.354004	-17.72	-0.886
-17.62	0.354004	-17.62	-0.881
-17.52	0.342285	-17.52	-0.876
-17.42	0.33252	-17.42	-0.871
-17.32	0.324707	-17.32	-0.866
-17.22	0.312988	-17.22	-0.861
-17.12	0.303223	-17.12	-0.856
-17.02	0.303223	-17.02	-0.851
-16.92	0.293457	-16.92	-0.846
-16.82	0.283691	-16.82	-0.841
-16.72	0.283691	-16.72	-0.836
-16.62	0.273926	-16.62	-0.831
-16.52	0.273926	-16.52	-0.826
-16.42	0.26416	-16.42	-0.821
-16.32	0.26416	-16.32	-0.816
-16.22	0.260254	-16.22	-0.811
-16.12	0.252441	-16.12	-0.806
-16.02	0.252441	-16.02	-0.801
-15.92	0.242676	-15.92	-0.796
-15.82	0.242676	-15.82	-0.791
-15.72	0.23291	-15.72	-0.786
-15.62	0.23291	-15.62	-0.781
-15.52	0.23291	-15.52	-0.776
-15.42	0.223145	-15.42	-0.771
-15.32	0.223145	-15.32	-0.766
-15.22	0.213379	-15.22	-0.761
-15.12	0.213379	-15.12	-0.756
-15.02	0.203613	-15.02	-0.751
-14.92	0.193848	-14.92	-0.746
-14.82	0.193848	-14.82	-0.741
-14.72	0.182129	-14.72	-0.736
-14.62	0.182129	-14.62	-0.731
-14.52	0.172363	-14.52	-0.726
-14.42	0.172363	-14.42	-0.721
-14.32	0.162598	-14.32	-0.716
-14.22	0.152832	-14.22	-0.711
-14.12	0.152832	-14.12	-0.706
-14.02	0.143066	-14.02	-0.701
