Cycle: 4  c15-c089_X	Cycle: 4  c15-c089_Y	Fitted Cycle: 4  c15-c089_X	Fitted Cycle: 4  c15-c089_Y
-45.46	0.209351	-45.46	-2.91126
-45.36	0.21521	-45.36	-2.90485
-45.26	0.21521	-45.26	-2.89845
-45.16	0.21521	-45.16	-2.89205
-45.06	0.21521	-45.06	-2.88564
-44.96	0.21521	-44.96	-2.87924
-44.86	0.21521	-44.86	-2.87283
-44.76	0.21521	-44.76	-2.86643
-44.66	0.21521	-44.66	-2.86003
-44.56	0.219116	-44.56	-2.85362
-44.46	0.224976	-44.46	-2.84722
-44.36	0.224976	-44.36	-2.84081
-44.26	0.224976	-44.26	-2.83441
-44.16	0.224976	-44.16	-2.82801
-44.06	0.224976	-44.06	-2.8216
-43.96	0.224976	-43.96	-2.8152
-43.86	0.224976	-43.86	-2.80879
-43.76	0.224976	-43.76	-2.80239
-43.66	0.224976	-43.66	-2.79599
-43.56	0.224976	-43.56	-2.78958
-43.46	0.224976	-43.46	-2.78318
-43.36	0.224976	-43.36	-2.77677
-43.26	0.224976	-43.26	-2.77037
-43.16	0.228882	-43.16	-2.76397
-43.06	0.234741	-43.06	-2.75756
-42.96	0.234741	-42.96	-2.75116
-42.86	0.234741	-42.86	-2.74475
-42.76	0.234741	-42.76	-2.73835
-42.66	0.234741	-42.66	-2.73195
-42.56	0.234741	-42.56	-2.72554
-42.46	0.234741	-42.46	-2.71914
-42.36	0.234741	-42.36	-2.71273
-42.26	0.234741	-42.26	-2.70633
-42.16	0.234741	-42.16	-2.69993
-42.06	0.234741	-42.06	-2.69352
-41.96	0.234741	-41.96	-2.68712
-41.86	0.238647	-41.86	-2.68071
-41.76	0.244507	-41.76	-2.67431
-41.66	0.244507	-41.66	-2.66791
-41.56	0.244507	-41.56	-2.6615
-41.46	0.244507	-41.46	-2.6551
-41.36	0.244507	-41.36	-2.64869
-41.26	0.244507	-41.26	-2.64229
-41.16	0.244507	-41.16	-2.63589
-41.06	0.244507	-41.06	-2.62948
