Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
-44.46	0.889893	-44.46	0.36306
-44.36	0.894531	-44.36	0.362244
-44.26	0.891846	-44.26	0.361427
-44.16	0.891846	-44.16	0.360611
-44.06	0.891846	-44.06	0.359794
-43.96	0.891846	-43.96	0.358977
-43.86	0.885986	-43.86	0.358161
-43.76	0.891846	-43.76	0.357344
-43.66	0.891846	-43.66	0.356528
-43.56	0.88208	-43.56	0.355711
-43.46	0.88208	-43.46	0.354894
-43.36	0.88208	-43.36	0.354078
-43.26	0.885986	-43.26	0.353261
-43.16	0.88208	-43.16	0.352445
-43.06	0.88208	-43.06	0.351628
-42.96	0.88208	-42.96	0.350811
-42.86	0.876221	-42.86	0.349995
-42.76	0.88208	-42.76	0.349178
-42.66	0.88208	-42.66	0.348362
-42.56	0.870361	-42.56	0.347545
-42.46	0.870361	-42.46	0.346728
-42.36	0.870361	-42.36	0.345912
-42.26	0.860596	-42.26	0.345095
-42.16	0.860596	-42.16	0.344279
-42.06	0.864502	-42.06	0.343462
-41.96	0.860596	-41.96	0.342645
-41.86	0.860596	-41.86	0.341829
-41.76	0.860596	-41.76	0.341012
-41.66	0.854736	-41.66	0.340196
-41.56	0.860596	-41.56	0.339379
-41.46	0.85083	-41.46	0.338562
-41.36	0.85083	-41.36	0.337746
-41.26	0.85083	-41.26	0.336929
-41.16	0.844971	-41.16	0.336113
-41.06	0.85083	-41.06	0.335296
-40.96	0.85083	-40.96	0.334479
-40.86	0.844971	-40.86	0.333663
-40.76	0.85083	-40.76	0.332846
-40.66	0.85083	-40.66	0.33203
-40.56	0.841064	-40.56	0.331213
-40.46	0.845703	-40.46	0.330396
-40.36	0.852783	-40.36	0.32958
-40.26	0.843018	-40.26	0.328763
-40.16	0.843018	-40.16	0.327947
-40.06	0.843018	-40.06	0.32713
-39.96	0.831299	-39.96	0.326313
-39.86	0.835205	-39.86	0.325497
-39.76	0.841064	-39.76	0.32468
-39.66	0.831299	-39.66	0.323864
-39.56	0.831299	-39.56	0.323047
-39.46	0.835205	-39.46	0.32223
-39.36	0.831299	-39.36	0.321414
-39.26	0.831299	-39.26	0.320597
-39.16	0.831299	-39.16	0.319781
-39.06	0.825439	-39.06	0.318964
-38.96	0.831299	-38.96	0.318147
-38.86	0.831299	-38.86	0.317331
-38.76	0.825439	-38.76	0.316514
-38.66	0.831299	-38.66	0.315698
-38.56	0.831299	-38.56	0.314881
-38.46	0.821533	-38.46	0.314064
-38.36	0.821533	-38.36	0.313248
-38.26	0.825439	-38.26	0.312431
-38.16	0.821533	-38.16	0.311615
-38.06	0.821533	-38.06	0.310798
-37.96	0.825439	-37.96	0.309981
-37.86	0.821533	-37.86	0.309165
-37.76	0.821533	-37.76	0.308348
-37.66	0.825439	-37.66	0.307532
-37.56	0.831299	-37.56	0.306715
-37.46	0.823486	-37.46	0.305898
-37.36	0.829346	-37.36	0.305082
-37.26	0.829346	-37.26	0.304265
-37.16	0.824219	-37.16	0.303449
-37.06	0.831299	-37.06	0.302632
-36.96	0.831299	-36.96	0.301815
-36.86	0.825439	-36.86	0.300999
-36.76	0.831299	-36.76	0.300182
-36.66	0.831299	-36.66	0.299366
-36.56	0.821533	-36.56	0.298549
-36.46	0.821533	-36.46	0.297732
-36.36	0.821533	-36.36	0.296916
-36.26	0.821533	-36.26	0.296099
-36.16	0.825439	-36.16	0.295283
-36.06	0.821533	-36.06	0.294466
-35.96	0.821533	-35.96	0.293649
-35.86	0.821533	-35.86	0.292833
-35.76	0.815674	-35.76	0.292016
-35.66	0.821533	-35.66	0.2912
-35.56	0.821533	-35.56	0.290383
-35.46	0.811768	-35.46	0.289566
-35.36	0.811768	-35.36	0.28875
-35.26	0.811768	-35.26	0.287933
-35.16	0.802002	-35.16	0.287117
-35.06	0.802002	-35.06	0.2863
-34.96	0.805908	-34.96	0.285483
