"Vol (mL)"	CDIN1L178Q	CDIN1L178Q	CDIN1L178Q	Codanin-1	Codanin-1	Codanin-1	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"
38.5300				1.480					
38.6600				1.520					
38.7800				1.520					
38.9100				1.480					
39.0300				1.560					
39.1600				1.560					
39.2800				1.440					
39.4100				1.560					
39.5300				1.560					
39.6600				1.560					
39.7800				1.720					
39.9100				1.720					
40.0300				1.760					
40.1600				1.800					
40.2800				1.720					
40.4100				1.800					
40.5300				1.720					
40.6600				1.760					
40.7800				1.840					
40.9100				1.840					
41.0300				1.920					
41.1600				1.920					
41.2800				1.920					
41.4100				1.840					
41.5300				2.000					
41.6600				1.960					
41.7800				2.000					
41.9100				1.960					
42.0300				2.000					
42.1600				2.000					
42.2800				1.840					
42.4100				1.840					
42.5300				1.920					
42.6600				1.920					
42.7800				1.880					
42.9100				1.800					
43.0300				1.800					
43.1600				1.720					
43.2800				1.800					
43.4100				1.800					
43.5300				1.760					
43.6600				1.720					
43.7800				1.760					
43.9100				1.640					
44.0300				1.800					
44.1600				1.680					
44.2800				1.720					
44.4100				1.800					
44.5300				1.720					
44.6600				1.760					
44.7800				1.760					
44.9100				1.720					
45.0400				1.720					
45.1600				1.800					
45.2900				1.760					
45.4100				1.840					
45.5400				1.840					
45.6600				1.880					
45.7900				1.800					
45.9100				1.800					
46.0400				1.800					
46.1600				1.720					
46.2900				1.720					
46.4100				1.640					
46.5400				1.600					
46.6600				1.520					
46.7900				1.520					
46.9100				1.560					
47.0400				1.320					
47.1600				1.360					
47.2900				1.240					
47.4100				1.160					
47.5400				1.080					
47.6600				1.160					
47.7900				1.160					
47.9100				1.160					
48.0400				1.080					
48.1600				1.000					
48.2900				0.960					
48.4100				0.920					
48.5400				0.880					
48.6600				0.840					
48.7900				0.920					
48.9100				0.840					
49.0400				0.840					
49.1600				0.840					
49.2900				0.840					
49.4100				0.840					
49.5400				0.840					
49.6600				0.720					
49.7900				0.800					
49.9100				0.720					
50.0400				0.840					
50.1600				0.800					
50.2900				0.720					
50.4100				1.000					
50.5400				1.080					
50.6600				1.160					
50.7900				1.000					
50.9100				0.920					
51.0400				0.920					
51.1600				0.960					
51.2900				1.040					
51.4200				1.040					
51.5400				1.040					
51.6700				1.160					
51.7900				1.240					
51.9200				1.280					
52.0400				1.280					
52.1700				1.240					
52.2900				1.360					
52.4200				1.440					
52.5400				1.400					
52.6700				1.400					
52.7900				1.560					
52.9200				1.560					
53.0400				1.640					
53.1700				1.840					
53.2900				1.880					
53.4200				1.880					
53.5400				1.920					
53.6700				2.000					
53.7900				2.000					
53.9200				2.080					
54.0400				2.240					
54.1700				2.280					
54.2900				2.440					
54.4200				2.400					
54.5400				2.600					
54.6700				2.600					
54.7900				2.720					
54.9200				2.840					
55.0400				2.920					
55.1700				3.040					
55.2900				3.120					
55.4200				3.320					
55.5400				3.280					
55.6700				3.520					
55.7900				3.560					
55.9200				3.680					
56.0400				3.800					
56.1700				3.920					
56.2900				4.000					
56.4200				4.080					
56.5400				4.280					
56.6700				4.360					
56.7900				4.480					
56.9200				4.640					
57.0400				4.760					
57.1700				4.960					
57.2900				4.880					
57.4200				5.160					
