"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
42.78				1.880					
42.91				1.800					
43.03				1.800					
43.16				1.720					
43.28				1.800					
43.41				1.800					
43.53				1.760					
43.66				1.720					
43.78				1.760					
43.91				1.640					
44.03				1.800					
44.16				1.680					
44.28				1.720					
44.41				1.800					
44.53				1.720					
44.66				1.760					
44.78				1.760					
44.91				1.720					
45.04				1.720					
45.16				1.800					
45.29				1.760					
45.41				1.840					
45.54				1.840					
45.66				1.880					
45.79				1.800					
45.91				1.800					
46.04				1.800					
46.16				1.720					
46.29				1.720					
46.41				1.640					
46.54				1.600					
46.66				1.520					
46.79				1.520					
46.91				1.560					
47.04				1.320					
47.16				1.360					
47.29				1.240					
47.41				1.160					
47.54				1.080					
47.66				1.160					
47.79				1.160					
47.91				1.160					
48.04				1.080					
48.16				1.000					
48.29				0.960					
48.41				0.920					
48.54				0.880					
48.66				0.840					
48.79				0.920					
48.91				0.840					
49.04				0.840					
49.16				0.840					
49.29				0.840					
49.41				0.840					
49.54				0.840					
49.66				0.720					
49.79				0.800					
49.91				0.720					
50.04				0.840					
50.16				0.800					
50.29				0.720					
50.41				1.000					
50.54				1.080					
50.66				1.160					
50.79				1.000					
50.91				0.920					
51.04				0.920					
51.16				0.960					
51.29				1.040					
51.42				1.040					
51.54				1.040					
51.67				1.160					
51.79				1.240					
51.92				1.280					
52.04				1.280					
52.17				1.240					
52.29				1.360					
52.42				1.440					
52.54				1.400					
52.67				1.400					
52.79				1.560					
52.92				1.560					
53.04				1.640					
53.17				1.840					
53.29				1.880					
53.42				1.880					
53.54				1.920					
53.67				2.000					
53.79				2.000					
53.92				2.080					
54.04				2.240					
54.17				2.280					
54.29				2.440					
54.42				2.400					
54.54				2.600					
54.67				2.600					
54.79				2.720					
54.92				2.840					
55.04				2.920					
55.17				3.040					
55.29				3.120					
55.42				3.320					
55.54				3.280					
55.67				3.520					
55.79				3.560					
55.92				3.680					
56.04				3.800					
56.17				3.920					
56.29				4.000					
56.42				4.080					
56.54				4.280					
