"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
55.63	0.8088								
55.76	0.8760								
55.88	0.8220								
56.01	0.8196								
56.14	0.7824								
56.26	0.7788								
56.39	0.7800								
56.51	0.7776								
56.64	0.7536								
56.76	0.7464								
56.89	0.7548								
57.01	0.7752								
57.14	0.7452								
57.26	0.7596								
57.39	0.7380								
57.51	0.7284								
57.64	0.7260								
57.76	0.7332								
57.89	0.7416								
58.01	0.7824								
58.14	0.7812								
58.27	0.7272								
58.39	0.7416								
58.52	0.7512								
58.64	0.7704								
58.77	0.7800								
58.89	0.7836								
59.02	0.7824								
59.14	0.8076								
59.27	0.8256								
59.39	0.8052								
59.52	0.8400								
59.64	0.8580								
59.77	0.8964								
59.89	0.8856								
60.02	0.9216								
60.14	0.9792								
60.27	0.9504								
60.40	1.0068								
60.52	1.0296								
60.65	1.0380								
60.77	1.0584								
60.90	1.0752								
61.02	1.1268								
61.15	1.1136								
61.27	1.2036								
61.40	1.2096								
61.52	1.2288								
61.65	1.2432								
61.77	1.2804								
61.90	1.3176								
62.02	1.3392								
62.15	1.4004								
62.28	1.4112								
62.40	1.4088								
62.53	1.4880								
62.65	1.5000								
62.78	1.5252								
62.90	1.5312								
63.03	1.5756								
63.15	1.5936								
63.28	1.6644								
63.40	1.6152								
63.53	1.6476								
63.65	1.7388								
63.78	1.7124								
63.90	1.7232								
64.03	1.7616								
64.15	1.7532								
64.28	1.8024								
64.41	1.8288								
64.53	1.8192								
64.66	1.8576								
64.78	1.9140								
64.91	1.9056								
65.03	1.9380								
65.16	1.9320								
65.28	1.9752								
65.41	2.0004								
65.53	2.0244								
65.66	2.0364								
65.78	2.0532								
65.91	2.1048								
66.03	2.0880								
66.16	2.1480								
66.28	2.1792								
66.41	2.1936								
66.54	2.2524								
66.66	2.2164								
66.79	2.2692								
66.91	2.2752								
67.04	2.3052								
67.16	2.3724								
67.29	2.4168								
67.41	2.4540								
67.54	2.4564								
67.66	2.5212								
67.79	2.5512								
67.91	2.5992								
68.04	2.6592								
68.16	2.6820								
68.29	2.7756								
68.41	2.8488								
68.54	2.8500								
68.67	2.9340								
68.79	3.0072								
68.92	3.0468								
69.04	3.1572								
69.17	3.2412								
69.29	3.2748								
69.42	3.3912								
69.54	3.4620								
69.67	3.5196								
69.79	3.6036								
69.92	3.6852								
70.04	3.7752								
70.17	3.9204								
70.29	3.9924								
70.42	4.0584								
70.54	4.2384								
70.67	4.3260								
70.80	4.4364								
70.92	4.5624								
71.05	4.7004								
71.17	4.8024								
71.30	4.9860								
71.42	5.0652								
71.55	5.1996								
71.67	5.4240								
71.80	5.4876								
71.92	5.6448								
72.05	5.8356								
72.17	5.9712								
72.30	6.1464								
72.42	6.3264								
72.55	6.4032								
72.68	6.6348								
72.80	6.8748								
72.93	6.9444								
73.05	7.1976								
73.18	7.3260								
73.30	7.5204								
73.43	7.7820								
73.55	7.9092								
73.68	8.0148								
73.80	8.2872								
73.93	8.5428								
74.05	8.5776								
74.18	8.8836								
74.30	9.0264								
74.43	9.2184								
74.55	9.4776								
74.68	9.6420								
74.81	9.7584								
74.93	10.0416								
75.06	10.2048								
75.18	10.3668								
75.31	10.6260								
75.43	10.7112								
75.56	10.9392								
75.68	11.2308								
75.81	11.3220								
75.93	11.5572								
76.06	11.7288								
76.18	11.9016								
76.31	12.1716								
76.43	12.3708								
76.56	12.4368								
76.68	12.6972								
76.81	12.9780								
76.94	13.0596								
77.06	13.3572								
77.19	13.5312								
77.31	13.6992								
77.44	14.0352								
77.56	14.2752								
77.69	14.3304								
77.81	14.6844								
77.94	14.9604								
78.06	15.0804								
78.19	15.5172								
78.31	15.6348								
78.44	15.9360								
78.56	16.3896								
78.69	16.6788								
78.81	16.9644								
78.94	17.3832								
79.07	17.7528								
79.19	18.1284								
79.32	18.7536								
79.44	19.0404								
79.57	19.5840								
79.69	20.3796								
79.82	20.7864								
79.94	21.5208								
80.07	22.1016								
80.19	22.8636								
80.32	23.7828								
80.44	24.7380								
80.57	25.3152								
80.69	26.4108								
80.82	27.7236								
80.94	28.3824								
81.07	29.8116								
81.20	30.6876								
81.32	31.9116								
81.45	33.5856								
81.57	34.8972								
81.70	35.7780								
81.82	37.4064								
81.95	39.0984								
82.07	40.1712								
82.20	42.3384								
82.32	43.1820								
82.45	44.9616								
82.57	47.0136								
82.70	48.1668								
82.82	49.6728								
82.95	51.2136								
83.08	52.7196								
83.20	54.3120								
83.33	56.3664								
83.45	57.0276								
83.58	58.5960								
83.70	60.6324								
83.83	61.2000								
83.95	62.9040								
84.08	63.8988								
84.20	65.0460								
84.33	66.5376								
84.45	67.9740								
84.58	68.2188								
84.70	69.4572								
84.83	71.2152								
84.95	71.0916								
85.08	72.7428								
85.21	73.3140								
85.33	73.9020								
85.46	75.4620								
85.58	76.0668								
85.71	76.2720								
85.83	77.2692								
85.96	78.0912								
86.08	78.4884								
86.21	80.0400								
86.33	80.3676								
86.46	80.8332								
86.58	82.4544								
86.71	82.6608								
86.83	83.5740								
86.96	84.3804								
87.08	84.8976								
87.21	85.9692								
87.34	87.3192								
87.46	87.5988								
87.59	88.2744								
87.71	89.8008								
87.84	89.7984								
87.96	90.9648								
88.09	91.6260								
88.21	91.9608								
88.34	93.1560								
88.46	93.7272								
88.59	93.7044								
88.71	94.2780								
88.84	95.1588								
88.96	94.6680								
89.09	95.3916								
89.21	95.6052								
89.34	94.9608								
89.47	95.5848								
89.59	95.0160								
89.72	94.6644								
89.84	94.3632								
89.97	93.6816								
90.09	92.8008								
90.22	92.5356								
90.34	91.7748								
90.47	90.1752								
90.59	89.7720								
90.72	88.0752								
90.84	87.1848								
90.97	85.9020								
91.09	83.7924								
91.22	82.8768								
91.35	81.2364								
91.47	80.0472								
91.60	77.8308								
91.72	76.4004								
91.85	74.3004								
91.97	72.8088								
92.10	71.4528								
92.22	68.6496								
92.35	67.4844								
92.47	65.2644								
92.60	64.1448								
92.72	61.8576								
92.85	59.8608								
92.97	58.0440								
93.10	56.1228								
93.22	55.2588								
93.35	52.5516								
93.48	51.2652								
93.60	49.4100								
93.73	48.2448								
93.85	46.4616								
93.98	44.4900								
94.10	43.4484								
94.23	41.4768								
94.35	41.0556								
94.48	38.9232								
94.60	37.4880								
94.73	36.2892								
94.85	35.2740								
94.98	34.2216								
95.10	32.4396								
95.23	31.8324								
95.35	30.2172								
95.48	29.9148								
95.61	28.4628								
95.73	27.1932								
95.86	26.5392								
95.98	25.5036								
96.11	25.1292								
96.23	23.6568								
96.36	23.1180								
96.48	22.0680								
96.61	21.8292								
96.73	20.8320								
96.86	19.7688								
96.98	19.4844								
97.11	18.5292								
97.23	18.4524								
97.36	17.4660								
97.48	16.8132								
97.61	16.2000								
97.74	15.9960								
97.86	15.4320								
97.99	14.5920								
98.11	14.4216								
98.24	13.6392								
98.36	13.6248								
98.49	12.9252								
98.61	12.4200								
98.74	12.0996								
98.86	11.7288								
98.99	11.4816								
99.11	10.9020								
99.24	10.7460								
99.36	10.1712								
99.49	10.1376								
99.61	9.7224								
99.74	9.2484								
99.87	9.1680								
99.99	8.7924								
100.12	8.7372								
100.24	8.3304								
100.37	8.1420								
100.49	7.8348								
100.62	7.7844								
100.74	7.5096								
100.87	7.1460								
100.99	7.1808								
101.12	6.8376								
101.24	6.8652								
101.37	6.6108								
101.49	6.4608								
101.62	6.2724								
101.75	6.2316								
101.87	6.0984								
102.00	5.8368								
102.12	5.8584								
102.25	5.6448								
102.37	5.6376								
102.50	5.4900								
102.62	5.3280								
102.75	5.2500								
102.87	5.1600								
103.00	5.1072								
103.12	4.9572								
103.25	4.9212								
103.37	4.7376								
103.50	4.7220								
103.62	4.6380								
103.75	4.5384								
103.88	4.4700								
104.00	4.3956								
104.13	4.3536								
104.25	4.2228								
104.38	4.1592								
104.50	4.0668								
104.63	4.0392								
104.75	3.9612								
104.88	3.8412								
105.00	3.8484								
105.13	3.7524								
105.25	3.8376								
105.38	3.6600								
105.50	3.6468								
105.63	3.6396								
105.75	3.6132								
105.88	3.5652								
106.01	3.4320								
106.13	3.4176								
106.26	3.3852								
106.38	3.3972								
106.51	3.3444								
106.63	3.2880								
106.76	3.2556								
106.88	3.2280								
107.01	3.2148								
107.13	3.1536								
107.26	3.1572								
107.38	3.1056								
107.51	3.0924								
107.63	3.1164								
107.76	3.0828								
107.88	3.1104								
108.01	3.0660								
108.14	3.0852								
108.26	3.0288								
108.39	3.1044								
108.51	3.1068								
108.64	3.1452								
108.76	3.1356								
108.89	3.1308								
109.01	3.1788								
109.14	3.1644								
109.26	3.1740								
109.39	3.1872								
109.51	3.2124								
109.64	3.2280								
109.76	3.2352								
109.89	3.2340								
110.02	3.2256								
110.14	3.2388								
110.27	3.1860								
110.39	3.2220								
110.52	3.1860								
110.64	3.1488								
110.77	3.1548								
110.89	3.0888								
111.02	3.1272								
111.14	3.0840								
111.27	3.0420								
111.39	2.9892								
111.52	2.9592								
111.64	2.8776								
111.77	2.8344								
111.89	2.7132								
112.02	2.6448								
112.15	2.5908								
112.27	2.5740								
112.40	2.5284								
112.52	2.4432								
112.65	2.4144								
112.77	2.3592								
112.90	2.2740								
113.02	2.2716								
113.15	2.2140								
113.27	2.2092								
113.40	2.1072								
113.52	2.0676								
113.65	2.0760								
113.77	2.0424								
113.90	1.9824								
114.02	1.9464								
114.15	1.9392								
114.28	1.8936								
114.40	1.8984								
114.53	1.8396								
114.65	1.8156								
114.78	1.7940								
114.90	1.7592								
115.03	1.7292								
115.15	1.7208								
115.28	1.6884								
115.40	1.6512								
115.53	1.6644								
115.65	1.7232								
115.78	1.6800								
115.90	1.5852								
116.03	1.5852								
116.15	1.5768								
116.28	1.5348								
116.41	1.5372								
116.53	1.4832								
116.66	1.4928								
116.78	1.4484								
116.91	1.4184								
117.03	1.4364								
117.16	1.3872								
117.28	1.4028								
117.41	1.3392								
117.53	1.3368								
117.66	1.2972								
117.78	1.2720								
117.91	1.2792								
118.03	1.2360								
118.16	1.2276								
118.28	1.1808								
118.41	1.1868								
118.54	1.1628								
118.66	1.1388								
118.79	1.1088								
118.91	1.0896								
119.04	1.1016								
119.16	1.0488								
119.29	1.0476								
119.41	1.0560								
119.54	1.0332								
119.66	1.0020								
119.79	0.9648								
119.91	0.9828								
									
									
0.00							1.2537		
0.13							1.1949		
0.26							0.5019		
0.38							2.7930		
0.51							2.0958		
0.64							1.9866		
0.77							1.7157		
0.89							1.4847		
1.02							1.1487		
1.15							0.9639		
1.28							0.9072		
1.41							0.7056		
1.53							0.6699		
1.66							0.5943		
1.79							0.5355		
1.92							0.4368		
2.04							0.3780		
2.17							0.3738		
2.30							0.3045		
2.43							0.3045		
2.56							0.2520		
2.68							0.2835		
2.81							0.2247		
2.94							0.2352		
3.07							0.1701		
3.20							0.1995		
3.32							0.1596		
3.45							0.1554		
3.58							0.1365		
3.71							0.1155		
3.83							0.1029		
3.96							0.0924		
4.09							0.0882		
4.22							0.0756		
4.35							0.0399		
4.47							0.0189		
4.60							0.0105		
4.73							0.0042		
4.86							0.0357		
4.98							-0.0252		
5.11							-0.0189		
5.24							-0.0336		
5.37							-0.0420		
5.50							-0.0735		
5.62							-0.1302		
5.75							-0.0861		
5.88							-0.0756		
6.01							-0.0630		
6.13							-0.1239		
6.26							-0.1113		
6.39							-0.1281		
6.52							-0.1407		
6.65							-0.1680		
6.77							-0.1386		
6.90							-0.1722		
7.03							-0.1323		
7.16							-0.1701		
7.29							-0.1659		
7.41							-0.2016		
7.54							-0.1953		
7.67							-0.2373		
7.80							-0.2415		
7.92							-0.2940		
8.05							-0.2142		
8.18							-0.2478		
8.31							-0.2835		
8.44							-0.2226		
8.56							-0.2331		
8.69							-0.2835		
8.82							-0.2520		
8.95							-0.3066		
9.07							-0.3276		
9.20							-0.2772		
9.33							-0.3066		
9.46							-0.3066		
9.59							-0.2457		
9.71							-0.2919		
9.84							-0.3087		
9.97							-0.3087		
10.10							-0.2562		
10.22							-0.2730		
10.35							-0.3024		
10.48							-0.2772		
10.61							-0.2772		
10.74							-0.3465		
10.86							-0.3003		
10.99							-0.2772		
11.12							-0.2667		
11.25							-0.3276		
11.38							-0.2856		
11.50							-0.2793		
11.63							-0.3045		
11.76							-0.2331		
11.89							-0.3339		
12.01							-0.2730		
12.14							-0.3087		
12.27							0.4473		
12.40							0.4914		
12.53							0.3255		
12.65							0.2016		
12.78							0.1722		
12.91							0.0462		
13.04							0.0294		
13.16							-0.0147		
13.29							0.0063		
13.42							-0.0861		
13.55							-0.0777		
13.68							-0.0966		
13.80							-0.1302		
13.93							-0.1470		
14.06							-0.1050		
14.19							-0.1428		
14.31							-0.1512		
14.44							-0.1596		
14.57							-0.1260		
14.70							-0.2163		
14.83							-0.1764		
14.95							-0.2037		
15.08							-0.1806		
15.21							-0.1848		
15.34							-0.2079		
15.47							-0.2079		
15.59							-0.2079		
15.72							-0.1995		
15.85							-0.2163		
15.98							-0.2163		
16.10							-0.2373		
16.23							-0.2205		
16.36							-0.2016		
16.49							-0.2394		
16.62							-0.2352		
16.74							-0.2058		
16.87							-0.2499		
17.00							-0.2037		
17.13							-0.2289		
17.25							-0.2058		
17.38							-0.2562		
17.51							-0.2289		
17.64							-0.2436		
17.77							-0.2499		
17.89							-0.2436		
18.02							-0.2394		
18.15							-0.2394		
18.28							-0.2793		
18.40							-0.2016		
18.53							-0.2835		
18.66							-0.2415		
18.79							-0.2520		
18.92							-0.2415		
19.04							-0.3129		
19.17							-0.2331		
19.30							-0.2625		
19.43							-0.2562		
19.55							-0.2394		
19.68							-0.2520		
19.81							-0.2709		
19.94							-0.2709		
20.07							-0.2667		
20.19							-0.3129		
20.32							-0.2541		
20.45							-0.2541		
20.58							-0.2751		
20.71							-0.2688		
20.83							-0.2562		
20.96							-0.2898		
21.09							-0.2793		
21.22							-0.2604		
21.34							-0.2289		
21.47							-0.2604		
21.60							-0.2058		
21.73							-0.2436		
21.86							-0.2961		
21.98							-0.2730		
22.11							-0.2730		
22.24							-0.2625		
22.37							-0.2625		
22.49							-0.2835		
22.62							-0.2835		
22.75							-0.2499		
22.88							-0.2583		
23.01							-0.2856		
23.13							-0.2121		
23.26							-0.3108		
23.39							-0.2856		
23.52							-0.2352		
23.64							-0.2772		
23.77							-0.2289		
23.90							-0.2646		
24.03							-0.2310		
24.16							-0.3045		
24.28							-0.2478		
24.41							-0.2625		
24.54							-0.2982		
24.67							-0.2646		
24.80							-0.2856		
24.92							-0.2898		
25.05							-0.2667		
25.18							-0.2688		
25.31							-0.2541		
25.43							-0.2583		
25.56							-0.2877		
25.69							-0.2247		
25.82							-0.2856		
25.95							-0.2394		
26.07							-0.2751		
26.20							-0.2877		
26.33							-0.3150		
26.46							-0.2751		
26.58							-0.2394		
26.71							-0.2688		
26.84							-0.2331		
26.97							-0.2961		
27.10							-0.2331		
27.22							-0.2730		
27.35							-0.2646		
27.48							-0.2961		
27.61							-0.2688		
27.73							-0.2730		
27.86							-0.2205		
27.99							-0.2940		
28.12							-0.2268		
28.25							-0.2226		
28.37							-0.2751		
28.50							-0.2268		
28.63							-0.2793		
28.76							-0.2499		
28.89							-0.2226		
29.01							-0.2751		
29.14							-0.2583		
29.27							-0.3066		
29.40							-0.2457		
29.52							-0.2226		
29.65							-0.2856		
29.78							-0.2541		
29.91							-0.2331		
30.04							-0.2793		
30.16							-0.3003		
30.29							-0.2730		
30.42							-0.2415		
30.55							-0.2751		
30.67							-0.2814		
30.80							-0.2982		
30.93							-0.3150		
31.06							-0.3213		
31.19							-0.2961		
31.31							-0.3192		
31.44							-0.2982		
31.57							-0.2688		
31.70							-0.3087		
31.82							-0.2835		
31.95							-0.3276		
32.08							-0.3297		
32.21							-0.3507		
32.34							-0.3465		
32.46							-0.3255		
32.59							-0.3402		
32.72							-0.3612		
32.85							-0.3612		
32.98							-0.3570		
33.10							-0.3780		
33.23							-0.3843		
33.36							-0.3234		
33.49							-0.3654		
33.61							-0.3591		
33.74							-0.3423		
33.87							-0.3801		
34.00							-0.3507		
34.13							-0.3423		
34.25							-0.3780		
34.38							-0.3339		
34.51							-0.3549		
34.64							-0.3423		
34.76							-0.3696		
34.89							-0.3969		
35.02							-0.3906		
35.15							-0.3486		
35.28							-0.3402		
35.40							-0.3234		
35.53							-0.3633		
35.66							-0.3549		
35.79							-0.3549		
35.91							-0.3948		
36.04							-0.3591		
36.17							-0.4242		
36.30							-0.3591		
36.43							-0.3507		
36.55							-0.3864		
36.68							-0.3759		
36.81							-0.3864		
36.94							-0.3549		
37.07							-0.3423		
37.19							-0.3654		
37.32							-0.3969		
37.45							-0.3675		
37.58							-0.3087		
37.70							-0.2814		
37.83							-0.3234		
37.96							-0.3528		
38.09							-0.3696		
38.22							-0.3528		
38.34							-0.3696		
38.47							-0.3528		
38.60							-0.3738		
38.73							-0.3024		
38.85							-0.3045		
38.98							-0.2478		
39.11							-0.2814		
39.24							-0.2541		
39.37							-0.2751		
39.49							-0.2499		
39.62							-0.2583		
39.75							-0.2016		
39.88							-0.1890		
40.00							-0.1869		
40.13							-0.1617		
40.26							-0.1281		
40.39							-0.0651		
40.52							-0.0483		
40.64							0.0042		
40.77							0.0567		
40.90							0.1281		
41.03							0.1953		
41.15							0.2835		
41.28							0.4578		
41.41							0.6027		
41.54							0.8904		
41.67							1.2726		
41.79							1.7976		
41.92							2.5074		
42.05							3.4839		
42.18							4.6767		
42.31							5.8527		
42.43							7.3584		
42.56							8.8116		
42.69							10.4706		
42.82							12.1485		
42.94							13.7046		
43.07							14.9037		
43.20							16.0020		
43.33							17.2872		
43.46							18.0852		
43.58							18.8727		
43.71							19.0365		
43.84							19.5279		
43.97							19.7337		
44.09							19.8891		
44.22							19.3662		
44.35							18.9735		
44.48							18.6333		
44.61							18.5724		
44.73							18.0474		
44.86							17.1864		
44.99							16.9764		
45.12							16.2225		
45.24							15.9642		
45.37							15.0234		
45.50							14.5362		
45.63							13.7655		
45.76							13.5912		
45.88							12.8541		
46.01							11.8776		
46.14							11.6802		
46.27							10.7919		
46.40							10.5861		
46.52							9.7188		
46.65							9.4332		
46.78							8.8095		
46.91							8.6352		
47.03							8.0556		
47.16							7.4550		
47.29							7.3689		
47.42							6.7914		
47.55							6.6948		
47.67							6.0690		
47.80							5.9766		
47.93							5.6070		
48.06							5.5503		
48.18							5.2479		
48.31							4.9014		
48.44							4.9035		
48.57							4.5255		
48.70							4.5738		
48.82							4.2021		
48.95							4.1475		
49.08							3.9795		
49.21							4.0383		
49.33							3.8325		
49.46							3.5931		
49.59							3.7674		
49.72							3.5364		
49.85							3.5889		
49.97							3.3264		
50.10							3.3663		
50.23							3.2697		
50.36							3.3537		
50.49							3.2487		
50.61							3.1794		
50.74							3.2529		
50.87							3.2340		
51.00							3.3117		
51.12							3.1290		
51.25							3.2718		
51.38							3.2655		
51.51							3.3705		
51.64							3.3201		
51.76							3.2886		
51.89							3.3621		
52.02							3.3264		
52.15							3.4482		
52.27							3.4062		
52.40							3.5448		
52.53							3.5511		
52.66							3.7296		
52.79							3.6960		
52.91							3.7611		
53.04							3.9270		
53.17							3.8892		
53.30							4.0719		
53.42							3.9837		
53.55							4.1916		
53.68							4.2315		
53.81							4.4226		
53.94							4.4562		
54.06							4.4583		
54.19							4.6767		
54.32							4.6851		
54.45							4.8300		
54.58							4.7880		
54.70							4.9791		
54.83							5.0421		
54.96							5.3025		
55.09							5.3067		
55.21							5.4222		
55.34							5.6196		
55.47							5.6574		
55.60							5.8737		
55.73							5.9598		
55.85							6.1152		
55.98							6.3777		
56.11							6.6171		
56.24							6.6591		
56.36							6.8523		
56.49							7.0938		
56.62							7.2156		
56.75							7.5327		
56.88							7.6104		
57.00							7.9338		
57.13							8.1585		
57.26							8.3727		
57.39							8.5008		
57.51							8.7381		
57.64							9.1308		
57.77							9.2337		
57.90							9.6411		
58.03							9.7797		
58.15							10.0926		
58.28							10.4433		
58.41							10.6806		
58.54							10.8570		
58.66							11.1573		
58.79							11.6130		
58.92							11.6508		
59.05							12.1464		
59.18							12.2514		
59.30							12.6966		
59.43							13.0599		
59.56							13.3686		
59.69							13.5093		
59.82							13.8369		
59.94							14.3535		
60.07							14.4249		
60.20							14.9016		
60.33							14.9877		
60.45							15.4119		
60.58							15.8529		
60.71							16.1616		
60.84							16.2414		
60.97							16.5480		
61.09							17.0688		
61.22							17.0604		
61.35							17.6211		
61.48							17.6841		
61.60							18.0705		
61.73							18.4380		
61.86							18.7383		
61.99							18.7908		
62.12							19.0785		
62.24							19.5510		
62.37							19.5720		
62.50							20.0382		
62.63							20.0844		
62.75							20.5968		
62.88							20.8404		
63.01							21.2394		
63.14							21.3339		
63.27							21.6909		
63.39							22.4070		
63.52							22.4259		
63.65							22.9971		
63.78							23.2554		
63.91							23.8980		
64.03							24.3663		
64.16							25.1013		
64.29							25.4226		
64.42							26.1240		
64.54							27.2706		
64.67							27.6213		
64.80							28.7238		
64.93							29.4819		
65.06							30.5991		
65.18							31.7205		
65.31							33.0939		
65.44							34.0305		
65.57							35.4564		
65.69							37.5060		
65.82							38.3082		
65.95							40.2381		
66.08							41.9958		
66.21							43.8795		
66.33							45.5427		
66.46							47.8695		
66.59							49.5159		
66.72							51.6516		
66.84							54.6819		
66.97							55.8327		
67.10							58.2267		
67.23							60.5913		
67.36							63.1008		
67.48							64.5540		
67.61							67.5654		
67.74							69.0627		
67.87							71.3559		
68.00							74.6466		
68.12							75.8037		
68.25							77.4501		
68.38							79.7160		
68.51							81.9462		
68.63							82.5363		
68.76							85.2390		
68.89							86.1693		
69.02							87.4188		
69.15							89.8506		
69.27							90.5940		
69.40							90.9237		
69.53							92.1018		
69.66							93.3597		
69.78							92.6646		
69.91							94.2879		
70.04							93.9855		
70.17							93.9834		
70.30							95.0712		
70.42							94.8360		
70.55							93.9855		
70.68							93.6117		
70.81							93.9372		
70.93							92.2257		
71.06							93.0720		
71.19							91.3416		
71.32							90.5541		
71.45							90.1425		
71.57							89.7120		
71.70							88.0026		
71.83							86.4675		
71.96							85.9068		
72.09							84.1323		
72.21							83.9769		
72.34							81.6375		
72.47							80.4972		
72.60							79.3569		
72.72							78.6240		
72.85							76.5891		
72.98							74.6067		
73.11							73.3362		
73.24							71.7759		
73.36							71.0178		
73.49							68.5251		
73.62							67.2777		
73.75							65.8833		
73.87							65.0643		
74.00							62.9601		
74.13							60.9168		
74.26							59.4825		
74.39							58.3023		
74.51							57.3468		
74.64							54.7995		
74.77							53.8587		
74.90							52.3509		
75.02							51.5697		
75.15							49.8267		
75.28							48.0627		
75.41							46.6095		
75.54							45.7968		
75.66							44.8434		
75.79							42.6909		
75.92							41.9160		
76.05							40.7799		
76.17							39.9546		
76.30							38.7030		
76.43							37.2393		
76.56							36.1725		
76.69							35.5362		
76.81							35.1036		
76.94							33.3711		
77.07							32.7369		
77.20							32.0733		
77.33							31.3677		
77.45							30.4878		
77.58							29.4021		
77.71							28.6251		
77.84							27.8985		
77.96							27.7326		
78.09							26.5755		
78.22							25.8489		
78.35							25.5507		
78.48							24.8220		
78.60							24.3243		
78.73							23.5263		
78.86							23.0097		
78.99							22.2663		
79.11							22.3440		
79.24							21.5187		
79.37							20.9559		
79.50							20.9790		
79.63							20.3511		
79.75							20.1180		
79.88							19.5006		
80.01							19.3284		
80.14							18.6648		
80.26							18.8496		
80.39							18.4212		
80.52							18.0054		
80.65							17.9970		
80.78							17.6316		
80.90							17.5602		
81.03							17.2431		
81.16							17.2242		
81.29							16.7202		
81.42							17.0100		
81.54							16.7601		
81.67							16.5564		
81.80							16.5564		
81.93							16.3926		
82.05							16.4178		
82.18							16.2204		
82.31							16.3611		
82.44							15.9327		
82.57							16.2246		
82.69							16.2099		
82.82							16.0125		
82.95							16.0881		
83.08							16.1763		
83.20							16.2498		
83.33							16.0146		
83.46							16.3338		
83.59							16.0062		
83.72							16.2939		
83.84							16.2918		
83.97							16.3464		
84.10							16.3506		
84.23							16.4871		
84.35							16.4535		
84.48							16.4388		
84.61							16.7643		
84.74							16.6383		
84.87							16.9092		
84.99							16.9827		
85.12							17.2137		
85.25							17.1423		
85.38							17.5665		
85.51							17.5833		
85.63							17.7471		
85.76							18.1986		
85.89							18.2637		
86.02							18.4674		
86.14							18.6984		
86.27							19.1058		
86.40							19.0890		
86.53							19.6308		
86.66							19.6812		
86.78							20.0319		
86.91							20.4267		
87.04							20.6808		
87.17							20.8677		
87.29							21.1764		
87.42							21.6153		
87.55							21.6510		
87.68							22.2495		
87.81							22.2726		
87.93							22.6212		
88.06							23.1336		
88.19							23.3835		
88.32							23.4822		
88.44							23.7657		
88.57							24.2067		
88.70							24.1311		
88.83							24.6561		
88.96							24.6162		
89.08							24.7905		
89.21							25.1664		
89.34							25.2168		
89.47							25.0782		
89.60							25.1979		
89.72							25.4352		
89.85							25.0740		
89.98							25.3596		
90.11							25.0362		
90.23							24.9690		
90.36							25.0593		
90.49							24.8871		
90.62							24.5805		
90.75							24.3285		
90.87							24.2445		
91.00							23.7342		
91.13							23.7111		
91.26							23.3016		
91.38							22.9215		
91.51							22.7430		
91.64							22.3671		
91.77							21.9534		
91.90							21.4935		
92.02							21.2079		
92.15							20.6766		
92.28							20.4267		
92.41							19.9374		
92.53							19.4040		
92.66							19.1940		
92.79							18.7110		
92.92							18.3162		
93.05							17.6841		
93.17							17.2914		
93.30							16.8420		
93.43							16.6278		
93.56							16.0671		
93.69							15.5568		
93.81							15.3909		
93.94							14.8743		
94.07							14.5509		
94.20							14.0175		
94.32							13.6038		
94.45							13.2090		
94.58							13.0389		
94.71							12.5643		
94.84							12.0834		
94.96							11.9910		
95.09							11.4954		
95.22							11.2917		
95.35							10.8234		
95.47							10.5420		
95.60							10.1535		
95.73							10.0632		
95.86							9.6558		
95.99							9.3072		
96.11							9.1833		
96.24							8.8116		
96.37							8.7045		
96.50							8.2425		
96.62							8.0619		
96.75							7.7364		
96.88							7.6944		
97.01							7.4550		
97.14							7.1106		
97.26							7.0350		
97.39							6.7473		
97.52							6.5961		
97.65							6.3126		
97.77							6.1740		
97.90							5.8737		
98.03							5.8044		
98.16							5.6343		
98.29							5.4075		
98.41							5.2710		
98.54							5.1093		
98.67							4.9623		
98.80							4.7229		
98.93							4.6032		
99.05							4.5234		
99.18							4.3617		
99.31							4.1853		
99.44							4.0740		
99.56							4.0110		
99.69							3.8682		
99.82							3.7023		
99.95							3.6141		
100.08							3.5301		
100.20							3.5112		
100.33							3.3075		
100.46							3.2739		
100.59							3.1563		
100.71							3.0450		
100.84							3.0555		
100.97							2.8959		
101.10							2.8455		
101.23							2.7762		
101.35							2.7384		
101.48							2.6691		
101.61							2.6355		
101.74							2.5431		
101.86							2.5074		
101.99							2.4255		
102.12							2.4192		
102.25							2.3415		
102.38							2.3625		
102.50							2.2932		
102.63							2.2575		
102.76							2.1945		
102.89							2.1966		
103.02							2.1210		
103.14							2.1504		
103.27							2.0769		
103.40							2.0433		
103.53							2.0118		
103.65							2.0097		
103.78							1.9551		
103.91							1.9362		
104.04							1.9005		
104.17							1.8732		
104.29							1.8837		
104.42							1.8312		
104.55							1.8123		
104.68							1.8060		
104.80							1.7913		
104.93							1.7577		
105.06							1.7829		
105.19							1.7325		
105.32							1.7136		
105.44							1.7262		
105.57							1.7388		
105.70							1.6653		
105.83							1.6947		
105.95							1.6254		
106.08							1.6821		
106.21							1.6569		
106.34							1.6989		
106.47							1.6233		
106.59							1.6653		
106.72							1.6296		
106.85							1.5897		
106.98							1.5960		
107.11							1.5834		
107.23							1.5960		
107.36							1.5708		
107.49							1.5750		
107.62							1.5183		
107.74							1.5960		
107.87							1.5519		
108.00							1.4994		
