"Vol (mL)"	CDIN1	CDIN1	CDIN1	Codanin-1	Codanin-1	Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
38.72	-1.81								
38.84	-1.83								
38.97	-1.82								
39.09	-1.84								
39.22	-1.82								
39.34	-1.81								
39.46	-1.84								
39.59	-1.82								
39.71	-1.82								
39.84	-1.85								
39.96	-1.84								
40.09	-1.83								
40.21	-1.81								
40.34	-1.82								
40.46	-1.83								
40.59	-1.80								
40.71	-1.82								
40.83	-1.80								
40.96	-1.81								
41.08	-1.81								
41.21	-1.78								
41.33	-1.77								
41.46	-1.80								
41.58	-1.80								
41.71	-1.77								
41.83	-1.78								
41.95	-1.75								
42.08	-1.75								
42.20	-1.73								
42.33	-1.62								
42.45	-1.55								
42.58	-1.38								
42.70	-1.26								
42.83	-0.98								
42.95	-0.58								
43.08	-0.14								
43.20	0.45								
43.32	0.93								
43.45	1.94								
43.57	2.73								
43.70	3.73								
43.82	4.43								
43.95	5.38								
44.07	6.50								
44.20	7.27								
44.32	8.29								
44.44	8.68								
44.57	9.64								
44.69	10.28								
44.82	10.66								
44.94	11.00								
45.07	11.10								
45.19	11.60								
45.32	11.69								
45.44	11.80								
45.57	11.68								
45.69	11.88								
45.81	12.03								
45.94	11.94								
46.06	12.16								
46.19	11.99								
46.31	12.36								
46.44	12.60								
46.56	12.83								
46.69	12.94								
46.81	13.17								
46.93	13.45								
47.06	13.49								
47.18	13.69								
47.31	13.26								
47.43	13.15								
47.56	12.85								
47.68	12.09								
47.81	11.44								
47.93	10.54								
48.06	9.74								
48.18	8.87								
48.30	7.93								
48.43	7.14								
48.55	6.31								
48.68	5.53								
48.80	4.85								
48.93	4.36								
49.05	3.80								
49.18	3.30								
49.30	2.94								
49.42	2.53								
49.55	2.31								
49.67	2.00								
49.80	1.76								
49.92	1.57								
50.05	1.41								
50.17	1.21								
50.30	1.05								
50.42	0.96								
50.55	0.80								
50.67	0.76								
50.79	0.60								
50.92	0.52								
51.04	0.46								
51.17	0.36								
51.29	0.31								
51.42	0.25								
51.54	0.20								
51.67	0.16								
51.79	0.13								
51.91	0.05								
52.04	0.03								
52.16	0.00								
52.29	-0.02								
52.41	-0.05								
52.54	-0.08								
52.66	-0.10								
52.79	-0.11								
52.91	-0.12								
53.03	-0.16								
53.16	-0.16								
53.28	-0.15								
53.41	-0.20								
