"Vol (mL)"	CDIN1	CDIN1	CDIN1	Codanin-1	Codanin-1	Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
61.55				13.965					
61.67				14.136					
61.80				14.478					
61.92				14.421					
62.05				14.820					
62.17				14.991					
62.30				15.447					
62.42				15.390					
62.55				15.675					
62.67				15.903					
62.80				16.074					
62.92				16.587					
63.05				16.587					
63.17				16.872					
63.30				17.100					
63.42				17.328					
63.55				17.385					
63.67				17.727					
63.80				18.069					
63.92				18.126					
64.05				18.753					
64.18				18.696					
64.30				19.095					
64.43				19.323					
64.55				19.608					
64.68				19.893					
64.80				20.007					
64.93				20.577					
65.05				20.463					
65.18				20.976					
65.30				21.033					
65.43				21.489					
65.55				21.717					
65.68				21.831					
65.80				22.458					
65.93				22.572					
66.05				22.971					
66.18				23.085					
66.30				23.655					
66.43				23.712					
66.55				23.883					
66.68				24.339					
66.80				24.282					
66.93				25.023					
67.05				24.852					
67.18				25.308					
67.30				25.536					
67.43				25.821					
67.55				25.935					
67.68				26.220					
67.80				26.505					
67.93				26.562					
68.05				27.189					
68.18				26.904					
68.30				27.360					
68.43				27.702					
68.55				27.759					
68.68				27.873					
68.80				28.158					
68.93				28.500					
69.05				28.500					
69.18				29.013					
69.30				28.614					
69.43				29.184					
69.55				29.583					
69.68				29.754					
69.80				30.324					
69.93				30.438					
70.05				30.837					
70.18				31.179					
70.30				31.692					
70.43				31.977					
70.56				32.718					
70.68				33.516					
70.81				33.801					
70.93				35.169					
71.06				35.340					
71.18				36.708					
71.31				37.677					
71.43				38.988					
71.56				40.128					
71.68				41.724					
71.81				43.434					
71.93				45.201					
72.06				47.595					
72.18				48.906					
72.31				51.756					
72.43				54.093					
72.56				56.487					
72.68				59.907					
72.81				62.415					
72.93				65.550					
73.06				69.027					
73.18				73.017					
73.31				75.012					
73.43				79.800					
73.56				82.821					
73.68				86.298					
73.81				91.428					
73.93				94.107					
74.06				98.040					
74.18				101.574					
74.31				106.590					
74.43				108.015					
74.56				112.404					
74.68				115.653					
74.81				118.161					
74.93				123.120					
75.06				123.120					
75.18				126.939					
75.31				129.162					
75.43				130.986					
75.56				132.468					
75.68				134.178					
75.81				136.116					
75.93				135.774					
76.06				138.225					
76.18				136.116					
76.31				138.225					
76.43				137.940					
76.56				136.059					
76.68				136.686					
76.81				134.919					
76.94				134.919					
77.06				132.696					
77.19				131.613					
77.31				128.991					
77.44				127.623					
77.56				126.426					
77.69				122.721					
77.81				121.638					
77.94				117.933					
78.06				116.850					
78.19				113.715					
78.31				109.839					
78.44				108.243					
78.56				104.709					
78.69				103.056					
78.81				99.066					
78.94				96.273					
79.06				93.423					
79.19				91.200					
79.31				88.350					
79.44				84.645					
79.56				82.764					
79.69				78.945					
79.81				77.349					
79.94				74.157					
80.06				71.022					
80.19				69.312					
80.31				66.120					
80.44				64.524					
80.56				61.560					
80.69				59.679					
80.81				56.886					
80.94				55.575					
81.06				53.295					
81.19				50.217					
81.31				49.476					
81.44				46.968					
81.56				45.771					
81.69				43.548					
81.81				41.667					
81.94				39.843					
82.06				39.102					
82.19				36.993					
82.31				34.770					
82.44				34.257					
82.56				32.091					
82.69				31.521					
82.81				29.811					
82.94				28.272					
83.06				27.246					
83.19				26.163					
83.32				25.365					
83.44				23.655					
83.57				23.085					
83.69				21.432					
83.82				21.204					
83.94				20.064					
84.07				18.753					
84.19				18.411					
84.32				17.328					
84.44				16.986					
84.57				15.732					
84.69				15.162					
84.82				14.250					
84.94				14.079					
85.07				13.395					
85.19				12.198					
85.32				12.255					
85.44				11.343					
85.57				11.229					
85.69				10.545					
85.82				9.918					
85.94				9.576					
86.07				9.348					
86.19				8.949					
86.32				8.208					
86.44				8.265					
86.57				7.638					
86.69				7.467					
86.82				7.239					
86.94				6.555					
87.07				6.555					
87.19				6.213					
87.32				5.985					
87.44				5.814					
87.57				5.700					
87.69				5.187					
87.82				5.130					
87.94				5.016					
88.07				4.674					
88.19				4.674					
88.32				4.389					
88.44				4.161					
88.57				4.218					
88.69				4.047					
88.82				3.933					
88.94				3.876					
89.07				3.591					
89.19				3.534					
89.32				3.420					
89.44				3.249					
89.57				3.306					
89.70				3.135					
89.82				2.907					
89.95				2.850					
90.07				2.850					
90.20				2.793					
90.32				2.850					
90.45				2.736					
90.57				2.565					
90.70				2.565					
90.82				2.565					
90.95				2.451					
91.07				2.679					
91.20				2.394					
91.32				2.223					
91.45				2.337					
91.57				2.337					
91.70				2.166					
91.82				2.223					
91.95				2.052					
92.07				2.223					
92.20				2.223					
92.32				2.166					
92.45				2.166					
92.57				2.223					
92.70				2.109					
92.82				2.166					
92.95				2.280					
93.07				2.166					
93.20				2.166					
93.32				2.166					
93.45				2.109					
93.57				2.166					
93.70				2.223					
93.82				2.109					
93.95				2.223					
94.07				2.223					
94.20				2.166					
94.32				2.223					
94.45				2.280					
94.57				2.109					
94.70				2.109					
94.82				2.223					
94.95				2.223					
95.07				2.052					
95.20				2.109					
95.32				2.109					
95.45				2.109					
95.57				2.166					
95.70				2.052					
95.82				2.109					
95.95				2.166					
96.08				2.052					
96.20				1.995					
96.33				1.938					
96.45				1.938					
96.58				1.824					
96.70				1.767					
96.83				1.767					
96.95				1.824					
97.08				1.767					
97.20				1.710					
97.33				1.710					
97.45				1.539					
97.58				1.425					
97.70				1.539					
97.83				1.482					
97.95				1.311					
98.08				1.311					
98.20				1.425					
98.33				1.311					
98.45				1.254					
98.58				1.140					
98.70				1.197					
98.83				1.254					
98.95				1.083					
99.08				1.140					
99.20				1.197					
99.33				1.083					
99.45				0.969					
99.58				1.140					
99.70				1.026					
99.83				1.083					
99.95				1.026					
100.08				0.912					
100.20				1.026					
100.33				0.912					
100.45				0.969					
100.58				0.798					
100.70				0.912					
100.83				0.855					
100.95				0.969					
101.08				0.684					
101.20				0.741					
101.33				0.855					
101.45				0.912					
101.58				0.855					
101.70				0.798					
101.83				0.855					
101.95				0.741					
102.08				0.798					
102.20				0.798					
102.33				0.855					
102.46				0.741					
102.58				0.855					
102.71				0.741					
102.83				0.855					
102.96				0.741					
103.08				0.741					
103.21				0.855					
103.33				0.741					
103.46				0.855					
103.58				0.912					
103.71				0.741					
103.83				0.855					
103.96				0.855					
104.08				0.969					
104.21				0.912					
104.33				0.969					
104.46				0.969					
104.58				1.083					
104.71				1.026					
104.83				1.083					
104.96				1.140					
105.08				1.254					
105.21				1.311					
105.33				1.254					
105.46				1.197					
105.58				1.311					
105.71				1.368					
105.83				1.425					
105.96				1.482					
106.08				1.539					
106.21				1.482					
106.33				1.710					
106.46				1.653					
106.58				1.653					
106.71				1.653					
106.83				1.710					
106.96				1.824					
107.08				1.938					
107.21				1.881					
107.33				1.995					
107.46				2.052					
107.58				2.052					
107.71				1.995					
107.83				2.223					
107.96				2.223					
108.08				2.280					
108.21				2.223					
108.33				2.166					
108.46				2.223					
108.58				2.280					
108.71				2.337					
108.84				2.280					
108.96				2.280					
109.09				2.394					
109.21				2.451					
109.34				2.337					
109.46				2.394					
109.59				2.451					
109.71				2.394					
109.84				2.337					
109.96				2.166					
110.09				2.394					
110.21				2.394					
110.34				2.508					
110.46				2.394					
110.59				2.337					
110.71				2.280					
110.84				2.337					
110.96				2.394					
111.09				2.280					
111.21				2.394					
111.34				2.223					
111.46				2.223					
111.59				2.280					
111.71				2.223					
111.84				2.223					
111.96				2.166					
112.09				2.109					
112.21				2.052					
112.34				2.052					
112.46				2.109					
112.59				1.881					
112.71				2.052					
112.84				1.995					
112.96				1.995					
113.09				1.938					
113.21				1.938					
113.34				1.824					
113.46				1.824					
113.59				1.710					
113.71				1.710					
113.84				1.767					
113.96				1.710					
114.09				1.653					
114.21				1.653					
114.34				1.596					
114.46				1.482					
114.59				1.482					
114.71				1.425					
114.84				1.368					
114.96				1.254					
115.09				1.140					
115.22				1.140					
115.34				1.140					
115.47				0.969					
115.59				1.083					
115.72				1.026					
115.84				0.855					
115.97				0.855					
116.09				0.684					
116.22				0.627					
116.34				0.570					
116.47				0.513					
116.59				0.342					
116.72				0.228					
116.84				0.228					
116.97				0.114					
117.09				0.057					
117.22				0.057					
117.34				-0.057					
117.47				-0.171					
117.59				-0.228					
117.72				-0.171					
117.84				-0.285					
117.97				-0.399					
118.09				-0.570					
118.22				-0.456					
118.34				-0.513					
118.47				-0.684					
118.59				-0.570					
118.72				-0.741					
118.84				-0.798					
118.97				-0.798					
119.09				-0.855					
119.22				-0.912					
119.34				-0.912					
119.47				-0.969					
119.59				-0.969					
119.72				-1.083					
119.84				-1.026					
119.97				-1.197					
									
									
0.00							0.900		
0.12							0.945		
0.25							0.975		
0.37							0.855		
0.50							0.870		
0.62							2.100		
0.74							2.790		
0.87							4.035		
0.99							3.870		
1.12							3.720		
1.24							3.450		
1.36							3.075		
1.49							2.955		
1.61							2.865		
1.74							2.700		
1.86							2.580		
1.98							2.415		
2.11							2.445		
2.23							2.325		
2.36							2.265		
2.48							2.220		
2.60							2.160		
2.73							2.145		
2.85							2.040		
2.98							2.040		
3.10							1.995		
3.22							1.965		
3.35							1.980		
3.47							1.890		
3.60							1.905		
3.72							1.860		
3.84							1.815		
3.97							1.785		
4.09							1.755		
4.22							1.710		
4.34							1.740		
4.46							1.710		
4.59							1.680		
4.71							1.680		
4.84							1.590		
4.96							1.635		
5.08							1.620		
5.21							1.560		
5.33							1.620		
5.46							1.545		
5.58							1.545		
5.70							1.530		
5.83							1.515		
5.95							1.485		
6.08							1.500		
6.20							1.485		
6.32							1.440		
6.45							1.470		
6.57							1.425		
6.70							1.440		
6.82							1.380		
6.94							1.425		
7.07							1.395		
7.19							1.380		
7.31							1.335		
7.44							1.335		
7.56							1.335		
7.69							1.290		
7.81							1.305		
7.93							1.305		
8.06							1.275		
8.18							1.305		
8.31							1.245		
8.43							1.275		
8.55							1.230		
8.68							1.260		
8.80							1.230		
8.93							1.275		
9.05							1.245		
9.17							1.215		
9.30							1.215		
9.42							1.245		
9.55							1.230		
9.67							1.200		
9.79							1.230		
9.92							1.245		
10.04							1.185		
10.17							1.215		
10.29							1.185		
10.41							1.215		
10.54							1.140		
10.66							1.200		
10.79							1.185		
10.91							1.140		
11.03							1.170		
11.16							1.140		
11.28							1.155		
11.41							1.155		
11.53							1.185		
11.65							1.140		
11.78							1.125		
11.90							1.155		
12.03							1.140		
12.15							1.095		
12.27							1.110		
12.40							1.110		
12.52							1.110		
12.65							1.050		
12.77							1.110		
12.89							1.125		
13.02							1.125		
13.14							1.110		
13.27							1.125		
13.39							1.110		
13.51							1.095		
13.64							1.095		
13.76							1.035		
13.89							1.050		
14.01							1.050		
14.13							1.080		
14.26							1.065		
14.38							1.035		
14.51							1.035		
14.63							1.005		
14.75							1.035		
14.88							1.020		
15.00							1.020		
15.13							0.990		
15.25							1.020		
15.37							1.035		
15.50							0.990		
15.62							0.975		
15.75							0.945		
15.87							0.975		
15.99							0.990		
16.12							0.960		
16.24							0.975		
16.37							0.945		
16.49							0.990		
16.61							0.930		
16.74							0.945		
16.86							0.930		
16.99							0.930		
17.11							0.930		
17.23							0.885		
17.36							0.930		
17.48							0.900		
17.61							0.915		
17.73							0.885		
17.85							0.885		
17.98							0.885		
18.10							0.885		
18.23							0.900		
18.35							0.885		
18.47							0.915		
18.60							0.855		
18.72							0.855		
18.85							0.840		
18.97							0.855		
19.09							0.870		
19.22							0.870		
19.34							0.870		
19.47							0.840		
19.59							0.840		
19.71							0.825		
19.84							0.840		
19.96							0.825		
20.09							0.855		
20.21							0.780		
20.33							0.795		
20.46							0.825		
20.58							0.795		
20.71							0.780		
20.83							0.765		
20.95							0.825		
21.08							0.765		
21.20							0.765		
21.33							0.795		
21.45							0.795		
21.57							0.810		
21.70							0.765		
21.82							0.735		
21.94							0.780		
22.07							0.750		
22.19							0.780		
22.32							0.735		
22.44							0.735		
22.56							0.705		
22.69							0.750		
22.81							0.750		
22.94							0.720		
23.06							0.765		
23.18							0.705		
23.31							0.765		
23.43							0.720		
23.56							0.705		
23.68							0.720		
23.80							0.735		
23.93							0.735		
24.05							0.690		
24.18							0.720		
24.30							0.720		
24.42							0.705		
24.55							0.720		
24.67							0.675		
24.80							0.735		
24.92							0.690		
25.04							0.705		
25.17							0.660		
25.29							0.705		
25.42							0.660		
25.54							0.645		
25.66							0.675		
25.79							0.600		
25.91							0.630		
26.04							0.645		
26.16							0.675		
26.28							0.660		
26.41							0.645		
26.53							0.675		
26.66							0.645		
26.78							0.645		
26.90							0.630		
27.03							0.600		
27.15							0.630		
27.28							0.600		
27.40							0.630		
27.52							0.585		
27.65							0.600		
27.77							0.555		
27.90							0.585		
28.02							0.615		
28.14							0.570		
28.27							0.525		
28.39							0.555		
28.52							0.570		
28.64							0.525		
28.76							0.540		
28.89							0.525		
29.01							0.555		
29.14							0.525		
29.26							0.555		
29.38							0.555		
29.51							0.495		
29.63							0.525		
29.76							0.495		
29.88							0.495		
30.00							0.480		
30.13							0.480		
30.25							0.510		
30.38							0.480		
30.50							0.495		
30.62							0.480		
30.75							0.480		
30.87							0.480		
31.00							0.450		
31.12							0.450		
31.24							0.465		
31.37							0.465		
31.49							0.480		
31.62							0.465		
31.74							0.450		
31.86							0.465		
31.99							0.435		
32.11							0.405		
32.24							0.450		
32.36							0.450		
32.48							0.420		
32.61							0.435		
32.73							0.375		
32.86							0.375		
32.98							0.405		
33.10							0.405		
33.23							0.420		
33.35							0.390		
33.48							0.375		
33.60							0.360		
33.72							0.390		
33.85							0.345		
33.97							0.390		
34.10							0.405		
34.22							0.375		
34.34							0.390		
34.47							0.405		
34.59							0.315		
34.72							0.360		
34.84							0.330		
34.96							0.390		
35.09							0.345		
35.21							0.360		
35.34							0.405		
35.46							0.360		
35.58							0.360		
35.71							0.345		
35.83							0.345		
35.96							0.330		
36.08							0.360		
36.20							0.390		
36.33							0.330		
36.45							0.330		
36.57							0.345		
36.70							0.330		
36.82							0.375		
36.95							0.315		
37.07							0.345		
37.19							0.315		
37.32							0.345		
37.44							0.360		
37.57							0.345		
37.69							0.375		
37.81							0.315		
37.94							0.360		
38.06							0.300		
38.19							0.345		
38.31							0.345		
38.43							0.345		
38.56							0.360		
38.68							0.345		
38.81							0.300		
38.93							0.345		
39.05							0.345		
39.18							0.330		
39.30							0.315		
39.43							0.360		
39.55							0.345		
39.67							0.345		
39.80							0.345		
39.92							0.345		
40.05							0.360		
40.17							0.360		
40.29							0.315		
40.42							0.345		
40.54							0.330		
40.67							0.345		
40.79							0.360		
40.91							0.300		
41.04							0.345		
41.16							0.345		
41.29							0.300		
41.41							0.315		
41.53							0.285		
41.66							0.360		
41.78							0.315		
41.91							0.300		
42.03							0.330		
42.15							0.315		
42.28							0.345		
42.40							0.285		
42.53							0.300		
42.65							0.285		
42.77							0.330		
42.90							0.315		
43.02							0.270		
43.15							0.315		
43.27							0.315		
43.39							0.330		
43.52							0.345		
43.64							0.375		
43.77							0.345		
43.89							0.345		
44.01							0.360		
44.14							0.390		
44.26							0.390		
44.39							0.390		
44.51							0.375		
44.63							0.390		
44.76							0.405		
44.88							0.420		
45.01							0.390		
45.13							0.375		
45.25							0.345		
45.38							0.390		
45.50							0.330		
45.63							0.360		
45.75							0.315		
45.87							0.330		
46.00							0.330		
46.12							0.360		
46.25							0.315		
46.37							0.330		
46.49							0.315		
46.62							0.300		
46.74							0.315		
46.87							0.300		
46.99							0.315		
47.11							0.345		
47.24							0.285		
47.36							0.315		
47.49							0.300		
47.61							0.285		
47.73							0.330		
47.86							0.285		
47.98							0.285		
48.11							0.285		
48.23							0.255		
48.35							0.240		
48.48							0.255		
48.60							0.270		
48.73							0.255		
48.85							0.255		
48.97							0.240		
49.10							0.255		
49.22							0.255		
49.35							0.255		
49.47							0.300		
49.59							0.270		
49.72							0.255		
49.84							0.270		
49.97							0.300		
50.09							0.330		
50.21							0.330		
50.34							0.315		
50.46							0.360		
50.59							0.405		
50.71							0.405		
50.83							0.450		
50.96							0.495		
51.08							0.540		
51.20							0.510		
51.33							0.615		
51.45							0.615		
51.58							0.645		
51.70							0.720		
51.82							0.735		
51.95							0.780		
52.07							0.870		
52.20							0.915		
52.32							0.990		
52.44							1.065		
52.57							1.095		
52.69							1.200		
52.82							1.305		
52.94							1.350		
53.06							1.455		
53.19							1.485		
53.31							1.665		
53.44							1.785		
53.56							1.860		
53.68							1.950		
53.81							2.070		
53.93							2.250		
54.06							2.355		
54.18							2.475		
54.30							2.565		
54.43							2.775		
54.55							2.970		
54.68							3.135		
54.80							3.285		
54.92							3.465		
55.05							3.645		
55.17							3.870		
55.30							4.080		
55.42							4.230		
55.54							4.515		
55.67							4.785		
55.79							4.920		
55.92							5.220		
56.04							5.430		
56.16							5.730		
56.29							6.045		
56.41							6.255		
56.54							6.555		
56.66							6.915		
56.78							7.215		
56.91							7.470		
57.03							7.875		
57.16							8.115		
57.28							8.460		
57.40							8.940		
57.53							9.090		
57.65							9.600		
57.78							9.900		
57.90							10.275		
58.02							10.785		
58.15							11.100		
58.27							11.415		
58.40							11.895		
58.52							12.420		
58.64							12.615		
58.77							13.170		
58.89							13.500		
59.02							13.860		
59.14							14.430		
59.26							14.580		
59.39							15.075		
59.51							15.480		
59.64							15.885		
59.76							16.260		
59.88							16.695		
60.01							16.920		
60.13							17.280		
60.26							17.865		
60.38							17.805		
60.50							18.315		
60.63							18.570		
60.75							18.780		
60.88							19.290		
61.00							19.350		
61.12							19.530		
61.25							19.890		
61.37							20.160		
61.50							20.145		
61.62							20.445		
61.74							20.610		
61.87							20.730		
61.99							21.075		
62.12							20.940		
62.24							21.285		
62.36							21.450		
62.49							21.540		
62.61							21.810		
62.74							21.930		
62.86							22.125		
62.98							22.455		
63.11							22.800		
63.23							22.965		
63.36							23.475		
63.48							23.880		
63.60							24.375		
63.73							25.185		
63.85							25.605		
63.98							26.430		
64.10							27.390		
64.22							28.425		
64.35							29.610		
64.47							30.915		
64.60							32.160		
64.72							34.125		
64.84							36.180		
64.97							37.560		
65.09							40.110		
65.22							42.105		
65.34							44.910		
65.46							48.000		
65.59							50.550		
65.71							53.055		
65.83							57.150		
65.96							61.290		
66.08							63.915		
66.21							68.475		
66.33							71.130		
66.45							75.795		
66.58							80.640		
66.70							83.190		
66.83							87.945		
66.95							91.575		
67.07							96.075		
67.20							100.590		
67.32							104.625		
67.45							107.040		
67.57							111.480		
67.69							116.610		
67.82							117.480		
67.94							121.890		
68.07							124.020		
68.19							126.510		
68.31							130.365		
68.44							131.145		
68.56							132.975		
68.69							134.790		
68.81							136.080		
68.93							136.620		
69.06							137.970		
69.18							138.240		
69.31							137.760		
69.43							138.780		
69.55							136.530		
69.68							136.875		
69.80							136.155		
69.93							134.160		
70.05							133.500		
70.17							131.535		
70.30							130.260		
70.42							128.010		
70.55							125.790		
70.67							123.480		
70.79							121.185		
70.92							119.700		
71.04							116.145		
71.17							113.685		
71.29							110.955		
71.41							108.615		
71.54							106.005		
71.66							102.555		
71.79							100.020		
71.91							96.915		
72.03							94.980		
72.16							91.455		
72.28							88.035		
72.41							86.190		
72.53							82.920		
72.65							81.030		
72.78							77.910		
72.90							74.910		
73.03							72.840		
73.15							70.710		
73.27							67.800		
73.40							64.650		
73.52							63.330		
73.65							60.180		
73.77							58.845		
73.89							56.280		
74.02							53.730		
74.14							52.605		
74.27							49.935		
74.39							48.570		
74.51							46.560		
74.64							44.715		
74.76							42.735		
74.89							41.685		
75.01							39.780		
75.13							37.410		
75.26							37.170		
75.38							34.905		
75.51							34.065		
75.63							32.685		
75.75							31.020		
75.88							30.330		
76.00							28.965		
76.13							27.870		
76.25							26.790		
76.37							26.190		
76.50							24.720		
76.62							24.210		
76.75							23.280		
76.87							22.035		
76.99							21.975		
77.12							20.865		
77.24							20.415		
77.37							19.725		
77.49							19.110		
77.61							18.540		
77.74							18.270		
77.86							17.670		
77.99							16.995		
78.11							16.995		
78.23							16.275		
78.36							16.215		
78.48							15.885		
78.61							15.555		
78.73							15.480		
78.85							15.285		
78.98							15.270		
79.10							15.150		
79.23							15.225		
79.35							15.030		
79.47							15.255		
79.60							15.390		
79.72							15.315		
79.85							15.690		
79.97							15.870		
80.09							16.095		
80.22							16.440		
80.34							16.785		
80.46							17.025		
80.59							17.445		
80.71							17.985		
80.84							18.390		
80.96							19.035		
81.08							19.440		
81.21							19.890		
81.33							20.550		
81.46							21.240		
81.58							21.570		
81.70							22.275		
81.83							22.800		
81.95							23.385		
82.08							24.255		
82.20							24.585		
82.32							25.110		
82.45							25.755		
82.57							26.385		
82.70							26.730		
82.82							27.330		
82.94							27.645		
83.07							28.140		
83.19							28.740		
83.32							28.680		
83.44							29.250		
83.56							29.460		
83.69							29.670		
83.81							30.015		
83.94							29.970		
84.06							30.060		
84.18							30.135		
84.31							30.330		
84.43							30.030		
84.56							30.045		
84.68							29.970		
84.80							29.640		
84.93							29.685		
85.05							29.235		
85.18							29.115		
85.30							28.860		
85.42							28.395		
85.55							28.185		
85.67							27.765		
85.80							27.525		
85.92							27.000		
86.04							26.715		
86.17							26.175		
86.29							25.785		
86.42							25.545		
86.54							25.020		
86.66							24.705		
86.79							24.225		
86.91							23.955		
87.04							23.475		
87.16							22.965		
87.28							22.770		
87.41							22.305		
87.53							22.140		
87.66							21.705		
87.78							21.345		
87.90							21.075		
88.03							20.790		
88.15							20.535		
88.28							20.160		
88.40							19.995		
88.52							19.620		
88.65							19.515		
88.77							19.260		
88.90							18.900		
89.02							18.810		
89.14							18.510		
89.27							18.405		
89.39							18.165		
89.52							17.910		
89.64							17.715		
89.76							17.565		
89.89							17.310		
90.01							16.995		
90.14							16.890		
90.26							16.575		
90.38							16.425		
90.51							16.125		
90.63							15.870		
90.76							15.645		
90.88							15.375		
91.00							15.165		
91.13							14.850		
91.25							14.640		
91.38							14.250		
91.50							14.145		
91.62							13.785		
91.75							13.395		
91.87							13.230		
92.00							12.840		
92.12							12.705		
92.24							12.270		
92.37							11.985		
92.49							11.730		
92.62							11.475		
92.74							11.190		
92.86							10.845		
92.99							10.575		
93.11							10.215		
93.24							10.050		
93.36							9.675		
93.48							9.375		
93.61							9.165		
93.73							8.820		
93.86							8.670		
93.98							8.325		
94.10							8.085		
94.23							7.800		
94.35							7.665		
94.48							7.365		
94.60							7.050		
94.72							6.930		
94.85							6.645		
94.97							6.525		
95.09							6.225		
95.22							6.000		
95.34							5.910		
95.47							5.610		
95.59							5.490		
95.71							5.265		
95.84							5.115		
95.96							4.950		
96.09							4.845		
96.21							4.650		
96.33							4.395		
96.46							4.365		
96.58							4.200		
96.71							4.125		
96.83							3.960		
96.95							3.810		
97.08							3.705		
97.20							3.630		
97.33							3.480		
97.45							3.375		
97.57							3.330		
97.70							3.150		
97.82							3.105		
97.95							2.955		
98.07							2.865		
98.19							2.835		
98.32							2.715		
98.44							2.655		
98.57							2.565		
98.69							2.475		
98.81							2.370		
98.94							2.370		
99.06							2.280		
99.19							2.160		
99.31							2.160		
99.43							2.025		
99.56							1.995		
99.68							1.905		
99.81							1.860		
99.93							1.800		
100.05							1.755		
100.18							1.710		
100.30							1.665		
100.43							1.590		
100.55							1.515		
100.67							1.500		
100.80							1.395		
100.92							1.335		
101.05							1.365		
101.17							1.305		
101.29							1.245		
101.42							1.215		
101.54							1.140		
101.67							1.110		
101.79							1.080		
101.91							1.035		
102.04							1.020		
102.16							0.960		
102.29							0.900		
102.41							0.885		
102.53							0.870		
102.66							0.810		
102.78							0.810		
102.91							0.795		
103.03							0.780		
103.15							0.750		
103.28							0.690		
103.40							0.675		
103.53							0.660		
103.65							0.600		
103.77							0.540		
103.90							0.600		
104.02							0.540		
104.15							0.525		
104.27							0.495		
104.39							0.480		
104.52							0.465		
104.64							0.435		
104.77							0.450		
104.89							0.405		
105.01							0.405		
105.14							0.375		
105.26							0.375		
105.39							0.330		
105.51							0.300		
105.63							0.315		
105.76							0.300		
105.88							0.285		
106.01							0.270		
106.13							0.225		
106.25							0.225		
106.38							0.225		
106.50							0.255		
106.63							0.180		
106.75							0.180		
106.87							0.165		
107.00							0.165		
107.12							0.135		
107.25							0.165		
107.37							0.165		
107.49							0.180		
107.62							0.150		
107.74							0.120		
107.87							0.105		
107.99							0.135		
108.11							0.105		
108.24							0.120		
108.36							0.075		
108.49							0.120		
108.61							0.090		
108.73							0.060		
108.86							0.075		
108.98							0.090		
109.10							0.075		
109.23							0.090		
109.35							0.075		
109.48							0.105		
109.60							0.060		
109.72							0.075		
109.85							0.090		
109.97							0.075		
110.10							0.045		
110.22							0.060		
110.34							0.090		
110.47							0.060		
110.59							0.120		
110.72							0.090		
110.84							0.075		
110.96							0.105		
111.09							0.075		
111.21							0.075		
111.34							0.105		
111.46							0.060		
111.58							0.075		
111.71							0.030		
111.83							0.060		
111.96							0.060		
112.08							0.075		
112.20							0.015		
112.33							0.030		
112.45							0.015		
112.58							0.000		
112.70							0.045		
112.82							0.015		
112.95							-0.015		
113.07							0.000		
113.20							0.000		
113.32							-0.015		
113.44							-0.015		
113.57							0.015		
113.69							-0.030		
113.82							-0.030		
113.94							-0.030		
114.06							-0.045		
114.19							-0.045		
114.31							-0.045		
114.44							-0.030		
114.56							-0.060		
114.68							-0.045		
114.81							-0.045		
114.93							-0.045		
115.06							-0.135		
115.18							-0.060		
115.30							-0.075		
115.43							-0.090		
115.55							-0.075		
115.68							-0.105		
115.80							-0.150		
115.92							-0.150		
116.05							-0.120		
116.17							-0.135		
116.30							-0.150		
116.42							-0.165		
116.54							-0.180		
116.67							-0.165		
116.79							-0.180		
116.92							-0.195		
117.04							-0.165		
117.16							-0.180		
117.29							-0.180		
117.41							-0.195		
117.54							-0.180		
117.66							-0.240		
117.78							-0.210		
117.91							-0.225		
118.03							-0.270		
118.16							-0.240		
118.28							-0.210		
118.40							-0.210		
118.53							-0.255		
118.65							-0.285		
118.78							-0.240		
118.90							-0.225		
119.02							-0.240		
119.15							-0.270		
119.27							-0.240		
119.40							-0.270		
119.52							-0.270		
119.64							-0.270		
119.77							-0.300		
119.89							-0.300		
